rating	total_spent_by_client	country	payment_verified	job_url_main	job_title	job_description	time_posted	hourly_rate	skill_level	estimated_time	estimated_budget	tags
Rating is 4.9 out of 5.	$6K+	United States	Payment verified	https://www.upwork.com/jobs/Notion-Expert-Needed-Build-Custom-Metrics-Dashboard-with-API-Integrations_~021883750895705183438/?referrer_url_path=find_work_home	Notion Expert Needed to Build Custom Metrics Dashboard with API Integrations	"I’m looking for a skilled Notion expert or software engineer to design and implement a customizable metrics dashboard in Notion. This dashboard will consolidate key performance indicators (KPIs) from various platforms (YouTube, Squarespace, Replit, Buffer, TidyCal, and Kit) into one intuitive, automated workspace. The dashboard must also include the ability to track custom metrics that I can add as needed.

Project Scope:

The ideal candidate will:
	1.	Set Up Core Databases
	•	Metrics to track include:
	•	YouTube (3 channels): Views, subscribers, published Shorts/Longs, CTR, watch hours.
	•	Squarespace (2 websites) and Replit (1 site): Traffic, unique visitors, bounce rate, conversion rate.
	•	Buffer: Posts published in the last 7 and 30 days.
	•	TidyCal: Appointments booked and related revenue.
	•	Kit: Dashboard metrics, broadcasts sent, email opens, clicks, and revenue.
	•	Custom Metrics: Enable manual addition of metrics with properties like Metric Name, Value, Date, and Tags.
	2.	Design an Intuitive Dashboard Layout
	•	A clean, user-friendly view summarizing all metrics.
	•	Include dynamic views (weekly, monthly, quarterly).
	•	Add a dedicated section for custom metrics.
	3.	Automate Data Collection (Where Possible)
	•	Integrate APIs to automate data from platforms like YouTube, Squarespace, Replit, Buffer, TidyCal, and Kit.
	•	Use tools like Zapier, Make, or direct API connections to streamline data entry.
	4.	Ensure Customization and Scalability
	•	Allow for easy addition or modification of metrics.
	•	Optimize the dashboard for desktop and mobile.
	5.	Testing and Documentation
	•	Test the dashboard thoroughly for accuracy and usability.
	•	Provide documentation or a short video tutorial on how to use, update, and add metrics.

Skills Required:
	•	Proficient in Notion (databases, relational properties, dashboard design).
	•	Experience with API integrations (e.g., YouTube API, Buffer API).
	•	Familiarity with automation tools like Zapier or Make (formerly Integromat).
	•	Strong attention to detail and ability to create user-friendly designs.
	•	Experience building scalable and customizable systems in Notion.

Deliverables:
	1.	Fully functional metrics dashboard in Notion.
	2.	API integrations for automated data collection.
	3.	Step-by-step guide or tutorial for dashboard maintenance and updates.


Timeline:

2-3 weeks from project start.

How to Apply:

Please include the following in your application:
	1.	Relevant experience with Notion dashboards and API integrations.
	2.	Examples of similar dashboards or projects you’ve completed.
	3.	A brief outline of your approach to this project.

Looking forward to collaborating with someone who can bring this dashboard to life and make tracking key metrics seamless!

Let me know if you’d like any adjustments to better fit your preferences!"	25 minutes ago	Hourly: $8-$18	Intermediate	Est. Time:	Less than 30 hrs/week	['Database Development', 'API', 'API Integration', 'API Development', 'Automation', 'Zapier']
Rating is 5 out of 5.	$3K+	India	Payment verified	https://www.upwork.com/jobs/GTM-Strategist-for-Powered-EdTech-Platform_~021883748930514375886/?referrer_url_path=find_work_home	GTM Strategist for AI-Powered EdTech Platform	"We are seeking an experienced Go-To-Market (GTM) strategist to help launch our AI-powered EdTech platform, targeting Indian competitive exams, with a primary focus on UPSC. The ideal candidate will have a deep understanding of the Indian education market, particularly in competitive exam preparation, and will develop strategies to effectively reach our target audience. Your insights will be crucial in shaping our product positioning and marketing efforts. If you have a passion for education and a track record of successful GTM strategies, we would love to hear from you.

**Relevant Skills:**
- Go-To-Market Strategy
- Market Research
- Competitive Analysis
- Digital Marketing
- Product Positioning
- Education Sector Expertise"	33 minutes ago	Hourly	Intermediate	Est. Time:	30+ hrs/week	['JavaScript', 'Google Analytics', 'Python', 'Marketing Strategy', 'Web Development']
Rating is 0 out of 5.	$0	Singapore	Payment verified	https://www.upwork.com/jobs/High-School-Exercise-Management-System-using_~021883746246190289455/?referrer_url_path=find_work_home	High School Exercise Management System using AI	"We are seeking a skilled developer to create an innovative exercise management system tailored for high school students. This system will leverage LLMs and RAGs, to enhance educational outcomes through personalized learning experiences.

Key Responsibilities
1.	LLM Model Integration:
	•	Research, suggest, and implement LLM models to automate the grading and feedbacks of scanned student homework .
	•	Ensure the models adhere to detailed educational standards and provide accurate feedback.

2.	Development of RAG System:
	•	Design and implement a RAG system that stores students’ homework submissions.
	•	Analyze performance data to identify common mistakes and areas of weakness for individual students.

3.	Question and Solution Generation:
	•	Develop algorithms capable of generating high-quality questions and comprehensive solution guides with a target accuracy of at least 98%.
	•	Continuously refine these algorithms based on user feedback and performance metrics."	43 minutes ago	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	['Artificial Intelligence', 'LLM Prompt', 'LLM Prompt Engineering']
Rating is 0 out of 5.	$0	India	Payment unverified	https://www.upwork.com/jobs/Engineer_~021883745080681288239/?referrer_url_path=find_work_home	AI Engineer	"Model Development & Deployment: Design, develop, and deploy advanced machine learning and deep learning models using platforms such as Hugging Face, OpenAI, and Google Gemini. Implement models like GPT-4o, Llama 3.1, and Claude 3.5 Sonnet to enhance the intelligence and performance of our applications.

Integration with AI Frameworks: Work with frameworks such as LangChain to build context-aware reasoning applications. Use Mixture of Agents and RAGs (Retrieval-Augmented Generation) to create sophisticated AI systems capable of complex tasks like multi-modal data processing and autonomous decision-making.

Optimization & Performance Tuning: Optimize AI models for performance and scalability. Leverage Groq and other advanced hardware acceleration technologies to ensure that our AI solutions are both efficient and effective in real-time applications.

Collaboration with Cross-Functional Teams: Work closely with data scientists, software engineers, and product managers to integrate AI models into our products. Collaborate on the end-to-end lifecycle of AI development, from data preparation and model training to deployment and monitoring.

Exploration & Innovation: Stay updated with the latest advancements in AI and machine learning. Explore and implement new AI techniques and frameworks, such as Fireworks AI and Google Gemini 1.5 Pro, to maintain our competitive edge.

Tooling & Infrastructure: Build and maintain AI tooling and infrastructure, using Python, PyTorch, and related technologies. Ensure that our AI systems are robust, reliable, and scalable."	48 minutes ago	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	['Artificial Intelligence', 'Machine Learning', 'Python', 'Deep Neural Network', 'Artificial Neural Network', 'Deep Learning', 'Data Science']
Rating is 5 out of 5.	$2K+	United States	Payment verified	https://www.upwork.com/jobs/Web-Interface-Developer-for-SaaS-Key-Metrics-Dashboard_~021883743521201668571/?referrer_url_path=find_work_home	Web Interface Developer for SaaS Key Metrics Dashboard	We are seeking a skilled web interface developer to create an intuitive dashboard showcasing key performance metrics for our SaaS product. The ideal candidate will collaborate with our team to gather requirements, design user-friendly interfaces, and implement features that effectively communicate essential data to our clients. A strong understanding of web development technologies and a keen eye for design are essential for ensuring a seamless user experience.	54 minutes ago	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	['JavaScript', 'Web Design', 'API', 'CSS', 'HTML']
Rating is 0 out of 5.	$0	United States	Payment verified	https://www.upwork.com/jobs/Automation-Tool-and-Agent-Development-Relevance_~021883740932643994268/?referrer_url_path=find_work_home	Automation Tool and Agent Development in Relevance AI	"We are looking for a skilled developer to build automation tools and agents leveraging Relevance AI. The role focuses on creating efficient, AI-driven solutions for outbound email generation and prospect identification.

Responsibilities:
Outbound Email Generation Tool:

- Automate data import from CSV/spreadsheets (e.g., names, titles, companies).
- Implement web scraping to gather additional prospect information (e.g., LinkedIn profiles, company websites).
- Enhance AI-powered personalized email generation.
- Develop mechanisms to output results to Google Sheets or as email drafts.

Relevant Prospect Identification Tool:
- Automate the process of finding relevant contacts within target companies.
- Implement JSON to CSV conversion for streamlined output.
Integrate tools with Google Sheets for seamless data management.

Requirements:

- Experience with Relevance AI for building intelligent automation tools.
- Proficiency in data handling and integration with tools like Google Sheets.
- Knowledge of web scraping techniques.
Strong problem-solving and development skills to create efficient, scalable solutions."	1 hour ago	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	['Business Process Automation', 'Scripting', 'Task Automation', 'Data Scraping', 'Automation', 'Artificial Intelligence']
Rating is 4.8 out of 5.	$10K+	United States	Payment verified	https://www.upwork.com/jobs/Chatbot-Setup-and-Client-Scheduling-Expert-Needed_~021883737775880780444/?referrer_url_path=find_work_home	AI Chatbot Setup and Client Scheduling Expert Needed	We are seeking an experienced AI Chatbot Setup and Client Scheduling Expert to streamline our customer interactions. The ideal candidate will have a proven track record in designing and implementing AI-driven chat solutions that enhance client scheduling processes. Your role will involve configuring the chatbot, integrating scheduling tools, and optimizing user experience. If you are passionate about leveraging AI to improve efficiency and client engagement, we want to hear from you!	1 hour ago	Hourly	Intermediate	Est. Time:	30+ hrs/week	['Chatbot Development', 'Python', 'API', 'Lead Generation', 'Artificial Intelligence']
Rating is 4.9 out of 5.	$900K+	United States	Payment verified	https://www.upwork.com/jobs/Subject-Matter-Expert-for-Retrieval-Augmented-Generation-RAG-Based-Question-Development_~021883737202629136943/?referrer_url_path=find_work_home	Subject Matter Expert for Retrieval-Augmented Generation (RAG)-Based Question Development	"We are looking for experienced Subject Matter Experts (SMEs) to create Retrieval-Augmented Generation (RAG)-based question sets for HackerRank. The goal is to develop high-quality, challenging assessments that effectively evaluate candidates’ understanding of RAG concepts and their practical application in solving real-world problems.

Responsibilities:
1. Design and create RAG-based technical questions with varying difficulty levels (easy, medium, and hard).
2. Develop both theoretical and practical challenges to assess conceptual understanding and hands-on skills.
3. Ensure questions focus on key RAG concepts, including retrieval mechanisms, language generation models, and the integration of the two.
4. Provide detailed problem statements, sample input/output, and solution code (if applicable).
5. Review and refine questions to ensure clarity, correctness, and relevance.

Requirements:
1. Proven expertise in Retrieval-Augmented Generation (RAG) and related fields (e.g., NLP, retrieval systems, or transformer models).
2. Familiarity with HackerRank or similar assessment platforms.
3. Strong understanding of modern AI/ML frameworks like PyTorch, TensorFlow, or LangChain.
4. Experience in creating technical assessments or questions is highly desirable.
5. Excellent written communication skills to draft clear and engaging problem descriptions.

What We Offer:
1. Competitive compensation per question created.
2. Opportunity to work on cutting-edge AI/ML concepts.
3. Flexible deadlines and remote collaboration."	1 hour ago	Fixed-price	Expert	Est. Budget:	$2,000	['LLM Prompt Engineering', 'Generative AI', 'Python', 'Machine Learning']
Rating is 0 out of 5.	$0	Canada	Payment unverified	https://www.upwork.com/jobs/YouTube-Transcript-Search-Summarization-App_~021883736502612738523/?referrer_url_path=find_work_home	YouTube Transcript Search & Summarization App	"Project goal
Develop a scalable web app to track YouTube channels, extract video transcripts, generate summaries, and enable search functionality.

Scope of work
- Frontend (React.js): Implement Google OAuth, search interface with keyword highlighting, and a dashboard for channel/video status tracking.
- Backend (Python + FastAPI): Integrate YouTube Data API for fetching videos, extract transcripts, and generate summaries using DeepSeek.
- Database (Supabase): Setup PostgreSQL tables for channels, videos, and summaries, and configure full-text search.
- Automation: Implement daily cron jobs to monitor new videos using Supabase Edge Functions.

Read more

Developer expertise
Databases

Frontend framework
React.js

Programming language
Python"	1 hour ago	Fixed-price	Intermediate	Est. Budget:	$100	['React', 'Python', 'Web Application']
Rating is 0 out of 5.	$0	USA	Payment verified	https://www.upwork.com/jobs/Data-Scientist-Needed-for-Fault-Location-Automation-and-Optimization-Relay-and-Protection-Systems_~021883686532386896540/?referrer_url_path=find_work_home	Data Scientist Needed for Fault Location Automation and Optimization in Relay and Protection Systems	"Data Scientist Needed for Fault Location Automation and Optimization in Relay and Protection Systems for Utility Companies

Description:
We are seeking a highly skilled and innovative Data Scientist with a strong programming background to help design and implement a real-time fault location automation and optimization system for relay and protection systems in a utility environment. The project is focused on enhancing reliability, reducing downtime, and improving system-wide fault analysis for a major utility company.

Project Overview:

Company Type: Utility company (e.g., Ameren)

Objective: Develop a data-driven solution to automate and optimize fault location analysis and enhance relay and protection phase operations.

Scope: Real-time data collection, fault detection, and advanced analytics for decision-making.

Responsibilities:

Research & Analysis:

Analyze current fault location and relay protection systems.

Identify inefficiencies and areas for optimization.

Collaborate with domain experts to understand technical constraints.

Data Engineering & Integration:

Develop pipelines to collect and process real-time data from relays, sensors, and SCADA systems.

Ensure data is clean, structured, and accessible for real-time analytics.

Model Development:

Build predictive models for fault detection and classification.

Implement algorithms to optimize fault location processes.

Validate models using historical and real-time data.

Real-time System Design:

Create dashboards for real-time visualization of fault data and analytics.

Integrate with existing systems for seamless operations.

Automate fault reporting and notification mechanisms.

Optimization:

Develop optimization algorithms to reduce downtime and improve fault location accuracy.

Simulate various fault scenarios to validate system performance.

Smart Grid Integration:

Utilize advanced grid technologies to ensure real-time communication and automation across the system.

Develop solutions that support grid reliability and resiliency, leveraging IoT sensors, smart meters, and advanced communication protocols.

Knowledge of Fault Locate Processes:

Understand the manual process of fault location, including SCADA access, relay event log analysis, and the use of tools like CYME and CAPE for simulations.

Automate these processes to create a streamlined, data-driven fault location pipeline.

Required Skills:

Strong programming skills in Python, R, or similar languages.

Proficiency in working with data engineering tools (e.g., Apache Kafka, Spark, or ETL tools).

Experience with machine learning libraries and frameworks (e.g., TensorFlow, PyTorch, or Scikit-learn).

Knowledge of power systems and relay protection.

Familiarity with SCADA systems, IoT, and real-time data processing.

Understanding of tools like CYME, CAPE, and fault location algorithms.

Strong problem-solving and analytical skills.

Preferred Qualifications:

Prior experience working in the utility sector.

Expertise in predictive modeling and optimization techniques.

Familiarity with industry standards for relay protection and fault location.

Knowledge of GIS tools and geospatial analysis.

Experience with smart grid technologies and integration.

Deliverables:

Comprehensive project proposal and PowerPoint presentation.

A fully functional fault location automation and optimization system.

Documentation of the system’s architecture, algorithms, and integration process.

Training materials for end-users.

Integration with smart grid solutions for enhanced system reliability."	4 hours ago	Hourly	Intermediate	Est. Time:	30+ hrs/week	['Electrical Engineering', 'data scientist', 'Presentation Slide', 'Python', 'Machine Learning', 'Microsoft Power BI', 'SCADA', 'cyme']
