rating	total_spent_by_client	country	payment_verified	job_url_main	job_title	job_description	time_posted	hourly_rate	skill_level	estimated_time	estimated_budget	tags	golden_score
4.7	1000000.0	United States	Payment verified	https://www.upwork.com/jobs/Hot-Jar-CRO-Expert_~021884848697119295525/?referrer_url_path=find_work_home	Hot Jar/CRO Expert	"Dear Candidate,

Spark Paws is seeking a Hotjar Expert & Conversion Rate Optimization (CRO) Specialist to enhance the user experience and optimize conversion rates on our Shopify store. Your primary focus will be to leverage Hotjar and other analytical tools to identify user friction points, monitor behavior, and implement data-driven improvements to drive higher conversions and improve site performance.

Key Responsibilities:

Hotjar Setup & Management:

1.	Set up and manage Hotjar heatmaps, session recordings, funnels, and feedback polls to track user behavior and uncover areas for improvement.
2.	Continuously monitor Hotjar for insights into drop-off points, scroll depth, and user interactions.
3.	Create and track multiple user journey funnels (e.g., product-only funnels, homepage-to-checkout, mobile vs. desktop) for detailed insights on how users navigate the site.

Conversion Rate Optimization (CRO):

1.	Analyze Hotjar data to detect bottlenecks and areas of user friction, providing actionable recommendations for optimization.
2.	A/B test various versions of landing pages, product pages, and checkout flows to identify the most effective design, layout, and user experience.
3.	Continuously improve UI/UX, page speed, and user navigation based on data-driven insights to increase conversion rates.

Error Tracking & Troubleshooting:

1.	Identify and troubleshoot errors or performance issues (e.g., JavaScript errors, tracking issues) that might be affecting conversion rate or user experience.
2.	Collaborate with the development team to address technical obstacles that impact CRO and overall website performance.

Collaboration & Reporting:

1.	Work closely with design, development, and marketing teams to implement recommended changes and strategies.
2.	Provide regular reports on conversion metrics, user behavior, and the impact of optimizations.

Qualifications:

•	Proven experience in managing Hotjar and using it to drive CRO improvements.
•	Expertise in Conversion Rate Optimization with a strong understanding of eCommerce user behavior and Shopify.
•	Hands-on experience in A/B testing, UI/UX improvements, and optimizing user flows.
•	Familiarity with Google Analytics, Google Tag Manager, and other tracking/analytics tools.
•	Basic understanding of HTML/CSS and JavaScript is a plus.
•	Excellent communication skills and the ability to translate data insights into actionable recommendations.

Please only apply if you have relevant experience.

Thanks!"	3 hours ago	0	Expert	Est. Time:	0	['Conversion Rate Optimization', 'Google Analytics', 'Landing Page', 'Web Design']	69.1
5.0	700000.0	Hong Kong	Payment verified	https://www.upwork.com/jobs/Conversion-Rate-Optimization-CRO-Specialist_~021884905840394216806/?referrer_url_path=find_work_home	Conversion Rate Optimization (CRO) Specialist	"We’re looking for a skilled Conversion Rate Optimization Specialist to help us improve two key metrics:
- Increase the percentage of visitors from our pricing page who complete registrations.
- Boost the percentage of registrations that convert into purchases.

Bonus: Experience in SaaS or subscription-based businesses.

If you’re ready to make an impact, apply with:
- A brief intro about yourself.
- Examples of past CRO projects and results.
- Your proposed approach to our challenges."	12 minutes ago	0	Expert	Est. Time:	0	['Customer Acquisition Strategy', 'Customer Retention Strategy', 'Conversion Rate Optimization', 'Google Analytics', 'A/B Testing', 'Visual Website Optimizer', 'Google Optimize', 'Google Ads']	58.0
5.0	300000.0	United States	Payment verified	https://www.upwork.com/jobs/Clinical-Data-Integration-Support-Specialist_~021884662769711629784/?referrer_url_path=find_work_home	Clinical Data Integration Support Specialist	We are seeking an experienced professional to support our clinical data integration system. The ideal candidate should have expertise in using dbt for data transformation, AWS for cloud solutions, and Apache Spark for big data processing. Familiarity with clinical trial data and its nuances is essential. This role involves helping us streamline data workflows and optimize our integration processes. If you have a strong background in these technologies and a passion for improving clinical data systems, we would love to hear from you!	yesterday	0	Expert	Est. Time:	0	['Microsoft Excel', 'Python', 'SQL']	42.0
5.0	200000.0	United States	Payment verified	https://www.upwork.com/jobs/Growth-Hacker-Fractional-Marketing-Manager_~021884762866149980404/?referrer_url_path=find_work_home	Growth Hacker / Fractional Marketing Manager	"About Us

Carbon Voice is redefining how professionals communicate asynchronously using voice and AI. We empower teams and individuals to capture, refine, and share ideas effortlessly—without the need for endless meetings. As we scale, we’re looking for a strategic and execution-driven Growth Hacker / Fractional Marketing Manager to help us grow across SEO, performance marketing, and digital/social media.

This is a part-time, flexible contract role ideal for someone who can develop and execute marketing strategies with a hands-on approach. You’ll play a critical role in driving user acquisition, engagement, and retention.

Role Overview

We need a full-stack growth marketer—someone who can own the strategy and execute it. This role requires a balance of analytical, creative, and tactical skills to drive measurable growth. You will define and implement marketing strategies from scratch, testing and iterating to optimize results.

Key Responsibilities

📈 Growth & Performance Marketing
	•	Develop, execute, and optimize paid advertising campaigns across Google Ads, Meta Ads, LinkedIn Ads, and other relevant platforms.
	•	Define and refine audience targeting, ad creatives, and messaging based on data insights.
	•	Continuously A/B test ads, landing pages, and email sequences to improve conversion rates.
	•	Analyze campaign performance using tools like Google Analytics, Mixpanel, or Amplitude and provide actionable insights.

🔍 SEO & Organic Growth
	•	Develop and implement an SEO strategy to improve organic search visibility.
	•	Conduct keyword research and optimize website content, blog posts, and landing pages.
	•	Identify backlinking opportunities and execute outreach strategies to improve domain authority.
	•	Track organic performance metrics and adjust strategies accordingly.

📢 Digital & Social Media Marketing
	•	Own and execute a social media strategy across LinkedIn, X, Instagram, Threads, and Facebook.
	•	Grow and engage our audience organically through compelling content and data-driven strategies.
	•	Test and optimize different content formats (text, video, images) for engagement and conversion.
	•	Select and implement the best tools for scheduling, engagement tracking, and performance analysis.
	•	Stay on top of industry trends and experiment with new marketing channels and tactics.

📊 User Acquisition, Onboarding & Retention
	•	Optimize the user onboarding process and engagement flows.
	•	Develop and execute new cohort-based drip campaigns to improve activation and retention.
	•	Track user engagement and acquisition metrics to iterate and improve marketing efforts.
	•	Collaborate with product and customer support teams to identify and resolve friction points.

What We’re Looking For

✅ 5+ years of experience in growth marketing, digital marketing, or performance marketing.
✅ Proven ability to build marketing strategies from scratch and execute them end-to-end.
✅ Hands-on experience managing paid ads (Google, Meta, LinkedIn, or similar).
✅ SEO expertise, including keyword research, content optimization, and backlinking strategies.
✅ Deep understanding of social media growth strategies, engagement tactics, and platform best practices.
✅ Data-driven mindset—comfortable analyzing marketing performance and making optimization decisions.
✅ Self-starter with strong project management skills—able to operate independently and iterate quickly.
✅ Familiarity with different marketing tools and ability to identify the best ones for the job.

Bonus Skills:
➕ Experience with influencer or partnership marketing.
➕ Knowledge of AI-driven marketing tools or automation.
➕ Background in SaaS or B2B marketing.

Why Work With Us?

🔥 Work with a fast-growing startup that’s redefining communication.
🌍 Remote & flexible—work from anywhere, set your own hours.
📈 Ownership & impact—help shape strategy while executing high-impact initiatives.
💡 Creative freedom—bring fresh ideas, experiment, and iterate.

How to Apply

If you’re a proactive, results-driven growth marketer who thrives on both strategy and execution, we’d love to hear from you!

📌 To apply, please include:
1️⃣ A short cover letter explaining why you’re a great fit.
2️⃣ Examples of past campaigns you’ve led (ads, SEO, social, or growth experiments).
3️⃣ Your proposed approach for Carbon Voice’s growth, based on this job description.
4️⃣ Your availability and expected hourly rate.

🚀 Let’s build the future of asynchronous voice communication together! 🚀"	9 hours ago	0	Intermediate	Est. Time:	0	['Search Engine Optimization', 'Tech & IT', 'Customer Acquisition Strategy', 'Growth Hacking', 'Performance Marketing', 'Digital Marketing']	34.67
5.0	200000.0	Djibouti	Payment verified	https://www.upwork.com/jobs/Voice-Model-Training-Specialist_~021884896755286755365/?referrer_url_path=find_work_home	AI Voice Model Training Specialist	We are seeking an experienced AI Voice Model Training Specialist to enhance our existing voice model. The ideal candidate will have a strong background in AI and machine learning, specifically in training voice models. Your main responsibility will be to integrate new data and refine the model for improved accuracy and performance. If you have a passion for voice technology and can deliver results, we want to hear from you.	48 minutes ago	0	Intermediate	Est. Budget:	0	['Machine Learning', 'Deep Learning', 'Artificial Intelligence', 'US English Dialect', 'TensorFlow']	34.67
4.8	100000.0	Australia	Payment verified	https://www.upwork.com/jobs/Voluum-Expert-Needed-for-Setup-Analysis-and-Optimization_~021884767871704341631/?referrer_url_path=find_work_home	Voluum Expert Needed for Setup Analysis and Optimization	"Voluum Specialist

We are looking for a skilled Voluum specialist to enhance and refine our existing digital marketing infrastructure. The perfect candidate will possess extensive knowledge of how Voluum integrates with third party platforms like Impact (affiliate platform), GA4, GTM and and experience in creating insightful dashboards using Looker Studio is also essential. Your expertise will play a vital role in optimizing our marketing strategies and elevating our data analysis processes. If you are driven by the desire to improve digital marketing frameworks and have a strong background with these technologies, we would love to connect with you!"	9 hours ago	0	Expert	Est. Time:	0	['Google Analytics', 'Search Engine Optimization', 'SEO Keyword Research', 'Marketing Strategy', 'Google Ads']	33.4
4.9	90000.0	United States	Payment verified	https://www.upwork.com/jobs/Expert-Full-Stack-Agent-Developer-for-Agent-Platform_~021884680407997269464/?referrer_url_path=find_work_home	Expert Full-Stack AI Agent Developer for AI Agent Ad Platform	"We are seeking an expert experienced full-stack developer proficient in Javascript, Typescript, Node.js, Next.js, and Nest.js to help build and enhance our AI agent advertising platform. 

You should review these following repositories:

(open source market and model will reference and use. Must understand and be able to leverage)
https://github.com/redstone-finance/clara/blob/main/clara-agent/agents/Clara_Twitter_Agent.mjs

(you must have deployed an agent before, this is elizaOS if you have not used this then you are not a good fit.)
https://github.com/elizaOS/eliza

This is not a position I am looking for someone to learn as they go. You need to come in immediately available to work full time immediately and start contributing immediately. Timelines are tight, also available for work on the weekends if possible.

The ideal candidate will have a strong background in developing scalable applications and integrating AI solutions. You will work closely with our product team to implement new features, optimize performance, and troubleshoot any issues that arise. If you are passionate about innovation and have a knack for creating user-friendly interfaces, we would love to hear from you."	15 hours ago	0	Expert	Est. Time:	0	['TypeScript', 'AI Agent Development', 'AI App Development', 'LangChain', 'Node.js', 'TensorFlow', 'AI Model Integration', 'API Development']	33.3
5.0	80000.0	United States	Payment verified	https://www.upwork.com/jobs/Advanced-Langchain-LLM-Developer-Needed_~021884768441125521445/?referrer_url_path=find_work_home	Advanced Langchain LLM Developer Needed	"About the Project

We are developing an advanced domain specific (sports) FastAPI-powered chatbot backend designed for high-performance, real-time AI interactions over WebSockets. The system integrates multiple LLM-powered agent chains, leverages vector search technologies, and incorporates structured outputs, memory, and caching to ensure efficient and intelligent responses.

What We’re Looking For

We need a highly skilled LangChain AI/LLM developer who can take ownership of the system’s agentic workflows and integrate state-of-the-art AI tools seamlessly. The ideal candidate should have extensive experience with LangChain, FastAPI, and LLM-based chat systems, and should be able to build, refine, and optimize real-time AI pipelines.

Key Responsibilities
	•	Develop a FastAPI-based chatbot backend that runs through a WebSocket connection for real-time AI interactions.
	•	Implement and optimize LangChain agent chains with structured output formatting.
	•	Integrate existing AI tools into agent workflows, including:
	•	SQL Agent (built and operational)
	•	Databricks Vector Search Index (built and operational)
	•	Qdrant Vector Semantic Search (built and operational)
	•	Enhance system memory and session retention using LangChain’s chat memory framework.
	•	Implement streaming responses to ensure real-time, high-performance AI interactions.
	•	Develop a caching mechanism based on high-similarity (96%+) vector search for improved efficiency.
	•	Optimize prompt engineering strategies for structured and contextually relevant AI outputs.
	•	Fine-tune and refine vector database integrations to ensure high recall and precision in retrieval-augmented generation (RAG).
	•	Debug, optimize, and scale the system for production use, ensuring low latency and high reliability."	9 hours ago	0	Expert	Est. Time:	0	['Python', 'LangChain']	33.2
5.0	60000.0	Australia	Payment verified	https://www.upwork.com/jobs/SaaS-Marketing-Specialist-for-Facebook-and-Google-Ads-Campaigns_~021884760892174312589/?referrer_url_path=find_work_home	SaaS Marketing Specialist for Facebook and Google Ads Campaigns	"A SaaS company we are helping is seeking a skilled marketing specialist to enhance their digital advertising efforts on Facebook and Google Ads platforms. We are currently facing challenges in reaching their target audience effectively, leading to suboptimal conversion rates and underutilization of their advertising budget. We require a professional who can identify these pain points and implement strategies to overcome them.

Key Responsibilities:

Comprehensive Audit: Conduct a thorough analysis of the existing Facebook and Google Ads campaigns to identify areas of improvement.

Strategy Development: Develop a tailored advertising strategy that aligns with the business objectives and targets the appropriate audience segments.

Campaign Implementation: Set up and manage campaigns, including ad creation, audience targeting, and budget allocation, with an emphasis on achieving a balance between consulting and implementation efforts.

Performance Monitoring: Regularly monitor campaign performance metrics, providing insights and recommendations for optimization.

Reporting: Deliver detailed reports on campaign performance, highlighting key metrics and areas for further enhancement.

Expected Deliverables:

A detailed audit report of current advertising campaigns.

A comprehensive advertising strategy document tailored to the SaaS product.

Implementation of optimized Facebook and Google Ads campaigns.

Regular performance reports with actionable insights.

The ideal candidate will have a proven track record in managing successful advertising campaigns for SaaS products, with the ability to provide both high-level strategic consulting and hands-on implementation. The project is structured to reflect an estimated 4 hours of consulting and 8 hours of implementation work, aligning with the budget of $1,200."	9 hours ago	0	Expert	Est. Budget:	0	['Facebook Advertising', 'Social Media Marketing', 'Pay Per Click Advertising', 'Google Ads', 'Campaign Management', 'Marketing Strategy', 'Digital Marketing', 'Search Engine Marketing']	32.4
5.0	50000.0	Egypt	Payment verified	https://www.upwork.com/jobs/Need-create-own-model_~021884778442047710140/?referrer_url_path=find_work_home	Need to create my own Ai model	"Description:
I am looking to build a new project to create an AI model that will be installed and run entirely on my dedicated server. The goal is to train the AI using a library of 100 books (and growing) containing all relevant content. The AI should be capable of answering any questions based on the data from these books, providing accurate and precise responses.

Key requirements:

The solution must operate locally on my server without relying on third-party APIs, tokens, or external services.

No ongoing costs for tokens or API usage—everything should run independently on my infrastructure.

I suggest using the DeepSeek model or any other suitable open-source/local AI framework.

If you have experience in AI model development, server deployment, and working with large datasets, I’d love to hear from you. Please share your approach and relevant experience when applying."	8 hours ago	0	Expert	Est. Budget:	0	['Artificial Intelligence', 'Python', 'Deep Learning', 'Data Science', 'Machine Learning']	32.0
