"rating","total_spent_by_client","country","payment_verified","job_url_main","job_title","job_description","time_posted","hourly_rate","skill_level","estimated_time","estimated_budget","tags","golden_score"
4.8,1000000.0,"United States","Payment verified","https://www.upwork.com/jobs/Automation-Specialist-Set-Voice-CRM-Assistant-for-commerce-Brand_~021891039805481490646/?referrer_url_path=find_work_home","AI Automation Specialist: Set up AI Voice & CRM Assistant for E-commerce Brand","We are looking for an experienced AI automation specialist to help us implement AI-driven voice automation and an AI assistant to handle common CRM inquiries for our e-commerce business. We sell on Shopify, so experience setting up automation for Shopify-based businesses is a plus. The initial focus will be on automating customer interactions, improving response efficiency, and reducing manual workload.

Scope of Work:
- Develop and implement AI-driven voice automation for customer engagement and follow-ups.
- Set up an AI-powered CRM assistant to handle common customer inquiries efficiently.
- Integrate AI solutions into our existing Shopify-based e-commerce workflow.
- Optimize and scale automation processes to improve customer experience and operational efficiency.


Ideal Candidate:
- Proven experience in AI-driven voice automation and virtual assistant development.
- Strong understanding of CRM automation, workflow optimization, and Shopify automation.
- Experience working with e-commerce businesses to automate processes and improve efficiency.
- Ability to analyze business processes and implement AI solutions tailored to e-commerce needs.
- Problem-solving mindset with a focus on scalability and automation.

Project Type:
- Initial setup and integration of AI voice automation and CRM assistant, with potential for ongoing collaboration as we expand automation across fulfillment, sales, and other business processes.

If you have experience building AI-powered automation for e-commerce businesses, we’d love to hear from you! Please share relevant past projects and your approach to AI-driven automation.","5 hours ago",0,"Expert","Est. Time:",0,"['Chatbot Integration', 'Integration Testing', 'AI Model Integration', 'Artificial Intelligence', 'voice ai', 'Make.com']",69.4
4.9,300000.0,"United States","Payment verified","https://www.upwork.com/jobs/Make-com-Automation-Developer-with-API-LLM-Experience_~021890801698705100916/?referrer_url_path=find_work_home","Make.com Automation Developer with API & LLM Experience","We are seeking a skilled developer to assist with automating workflows using Make.com with the goal of making them long-term usable via clean web-based interfaces outside of Make.com. I have several projects in mind, so the rate is a placeholder. The ideal candidate should have experience integrating external APIs for scraping and searching, and working with various language learning models (LLMs) such as ChatGPT and Perplexity. We typically use Google Sheets for proof-of-concept data handling and prompt storage. You will be responsible for creating seamless connections between different tools and ensuring smooth data flow. If you can work with AI tools quickly, have a strong background in automation and a passion for optimizing processes, we would love to hear from you!","yesterday",0,"Expert","Est. Budget:",0,"['AI Development', 'Web Application', 'API', 'LLM Prompt Engineering', 'Make.com']",41.7
4.8,200000.0,"United States","Payment verified","https://www.upwork.com/jobs/Business-Architect-General-Manager-Build-Scale-Business-from-Scratch_~021890862030911819892/?referrer_url_path=find_work_home","Business Architect / General Manager – Build & Scale a Business from Scratch","We are looking for a highly entrepreneurial, execution-driven leader to build, launch, and scale a business from the ground up. This role is for someone who thrives in ambiguity, enjoys creating systems, and can operate as a mini-CEO—taking full ownership of the company’s success. If you have built businesses before, scaled startups, or been a key operator in a high-growth company, this is your opportunity to take the reins and grow a business with full ownership.

As the first hire and business architect, you will be responsible for everything from business strategy, operations, and automation to hiring, team management, and revenue generation. You will develop the go-to-market strategy, set up systems and processes, drive sales, and recruit key team members as the business scales. This is a hands-on role for a builder and executor, not just a strategist. We need someone who can get things done, iterate quickly, and turn an idea into a fully functional and revenue-generating business.

The ideal candidate has at least 3+ years of experience in entrepreneurship, startups, business operations, or growth roles. You should be resourceful, tech-savvy, and have experience leveraging automation, AI, and digital tools to optimize business workflows. A strong background in digital marketing, sales funnels, and hiring remote teams is a plus. We are looking for someone who is both strategic and hands-on—someone who can map out a plan and execute it effectively.

This role comes with significant upside potential. Compensation includes a base rate + performance-based incentives (profit-sharing, bonuses, or potential equity) for the right candidate. The role is remote and flexible, but we expect full ownership and execution at a high level.

If you’re the kind of person who treats a business as your own, thrives in fast-paced environments, and loves building things from scratch, we want to hear from you. Please review the full job description here:

https://docs.google.com/document/d/1owNz_DLLqgN62QTmcszu4tDHpQxxvSGiwvc0o7ArZA8/edit?usp=sharing

To apply, send a short note on why you’re a fit, along with relevant experience demonstrating your ability to build, optimize, or scale businesses. We move fast—apply today!","17 hours ago",0,"Expert","Est. Time:",0,"['Business Development', 'Leadership Coaching', 'Sales Leadership']",37.4
5.0,100000.0,"Israel","Payment verified","https://www.upwork.com/jobs/Productivity-Expert-for-SaaS-Development-Team_~021891050646702369328/?referrer_url_path=find_work_home","AI Productivity Expert for SaaS Development Team","We’re looking for an AI expert to help our team of skilled developers integrate AI tools and workflows to significantly boost productivity and deployment speed.

As an AI expert, you will:
1. Train our team to use AI tools like Cursor, GitHub Copilot, and other AI coding assistants.
2. Identify repetitive tasks and workflows that can be automated.
3. Implement strategies to speed up feature development and task completion.

If you know how to craft highly efficient prompts, have experience with Cursor, N8N or any other AI tools, and feel like you can coach a team of developers to use those AI tools effectively, we're looking for you! 

Please mention your relevant experience in that field.","4 hours ago",0,"Expert","Est. Budget:",0,"['ChatGPT', 'AI Agent Development', 'AI-Generated Code', 'Full-Stack Development', 'Prompt Engineering', 'LLM Prompt Engineering', 'AI Code Generator']",34.0
5.0,100000.0,"Israel","Payment verified","https://www.upwork.com/jobs/Data-scientist-required-work-tandem-Zoom_~021890980868504224208/?referrer_url_path=find_work_home","Data scientist required to work in tandem on Zoom","Looking for an experienced data scientist to work on logistics and supply chain projects. The idea is to form a team of 2 for brain storming and working together, so a bug part of the job will be online meetings and working together. Expecting about 3 sessions per week, 4-5 hours each.

You must have problem solving skills and good English.","9 hours ago",0,"Expert","Est. Time:",0,"['Deep Learning', 'Reinforcement Learning', 'Machine Learning', 'Data Science', 'Artificial Intelligence']",34.0
5.0,80000.0,"Israel","Payment verified","https://www.upwork.com/jobs/Expert-Needed-for-EEG-Epilepsy-Algorithms-Implementation_~021891052458671057456/?referrer_url_path=find_work_home","AI Expert Needed for EEG Epilepsy Algorithms Implementation","We are seeking an AI expert with specialized knowledge in EEG epilepsy algorithms and models. The ideal candidate will provide guidance and insights on how to implement these models effectively in our ongoing projects. Experience in developing and optimizing algorithms for epilepsy detection and classification is essential. You will work closely with our team to ensure the models are integrated successfully. If you have a robust background in this niche of AI, we would love to hear from you.","4 hours ago",0,"Expert","Est. Time:",0,"['Machine Learning', 'Artificial Intelligence', 'Algorithm Development', 'Python', 'C++']",33.2
4.9,80000.0,"United States","Payment verified","https://www.upwork.com/jobs/Developer-for-Product-Integration-Voice-Learning_~021890850303207095816/?referrer_url_path=find_work_home","AI Developer for Product Integration - Voice & Learning","We are a brand of consumer electronics looking for help with a sleep assist device. Specifically, we are looking to incorporate a Voice assist, that helps with daily winding down.

We are well versed on the product development side but have never incorporated an app into one of our products, much less one that learns habits and understand voice command.

Looking for someone that has the ability to not just help in the development, but also the planning of what this product can do.

Please no sir/madam stock responses. Would love to know what kind of AI projects you have worked on before and what you know about buiding voice related assistance and learning.

Thanks!","18 hours ago",0,"Expert","Est. Time:",0,"['Elearning', 'Artificial Intelligence', 'Machine Learning']",32.9
4.8,70000.0,"United States","Payment verified","https://www.upwork.com/jobs/Data-Profiling-Expert-Needed-for-EDW-Azure-Migration_~021890860903817521713/?referrer_url_path=find_work_home","Data Profiling Expert Needed for EDW to Azure Migration","We are seeking a skilled data profiling expert to assist in the migration of millions of records from our Enterprise Data Warehouse (EDW) to Azure Data Lake Services (ADLS). The ideal candidate should have experience in identifying data quality issues, creating data profiles, and ensuring data integrity throughout the migration process. Your expertise will be crucial in helping us maintain high data standards during this transition. If you are detail-oriented and have a strong background in data management, we want to hear from you!","17 hours ago",0,"Expert","Est. Time:",0,"['SQL', 'Microsoft Azure SQL Database', 'Data Profiling', 'Microsoft Power BI', 'microsoft power query', 'Microsoft Azure Data lake', 'eneterprise data warehouse']",32.2
5.0,40000.0,"Bulgaria","Payment verified","https://www.upwork.com/jobs/Data-Scientist-Python-Developer-Bulgaria_~021891045393005871568/?referrer_url_path=find_work_home","Sr Data Scientist/ Sr Python Developer in Bulgaria","Role Description

The Senior Data Scientist (or Data Scientist) will be responsible for re-factoring modules of a SaaS software product into Python. Do you like to be challenged and grow? Join us!

Qualifications

- Data Science and Data Analytics skills
- Experience in machine learning and statistical modeling; experience in process optimization a plus
- Proficiency in Python
- Strong problem-solving and critical-thinking skills
- Ability to communicate complex findings to non-technical stakeholders
- Bachelor's or Master's in Data Science, Statistics, Computer Science, Applied Mathematics, or related field","5 hours ago",0,"Expert","Est. Time:",0,"['Python', 'VBA', 'Data Science']",31.6
5.0,40000.0,"United Kingdom","Payment verified","https://www.upwork.com/jobs/API-Automation-Engineer-Full-Stack-Developer-Needed-for-Commerce-Project_~021890749641805647988/?referrer_url_path=find_work_home","AI & API Automation Engineer / Full-Stack Developer Needed for E-Commerce Project","We are looking for an AI & API Developer with experience in e-commerce automation to integrate AI-driven APIs into our Shopify-based brand. 

Our goal is to cut operational overhead by 50% by automating key business functions such as customer support, merchandising, inventory management and messaging outreach. 

Not everything will be strictly bespoke, but we need API expertise to take advantage of tools that already exist and integrating them into our current workflow (API experience with google sheets/notion) 

✅ Expertise in AI & API integrations – Familiarity with AI-based tools for e-commerce automation.
✅ Experience with Shopify API – Ability to customize and integrate AI-powered merchandising & fulfillment tools.
✅ Strong Python/Node.js skills – Required for custom API connections & automation workflows.
✅ Knowledge of AI models (GPT-4, Stable Diffusion, LangChain, Whisper AI, etc.).
✅ Experience with cloud services (AWS Lambda, Firebase, or similar).
✅ Familiarity with data pipelines & automation (Zapier, Make.com, or direct API connections).

Bonus Skills:
🔥 AI-driven personalization & A/B testing experience.
🔥 Automated data analysis for decision-making (Google Analytics API, Looker Studio).
🔥 Prior experience working with DTC brands (bonus if in footwear, apparel, or fashion).

What You Get:
🚀 Work with a fast-growing, AI-driven e-commerce brand.

How to Apply:
1. Send a short introduction – Tell us about your relevant experience.
2. Share past projects – Show examples of AI/API work you've done in e-commerce.
3. Answer this: If you were to automate our customer support function with AI voice agents, which tools & AI solutions would you use?

🚀 We’re ready to move fast","yesterday",0,"Expert","Est. Time:",0,"['API', 'Python', 'JavaScript', 'API Integration', 'Node.js']",31.6
