"rating","total_spent_by_client","country","payment_verified","job_url_main","job_title","job_description","time_posted","hourly_rate","skill_level","estimated_time","estimated_budget","tags","golden_score"
"4.8","1000000.0","United States","Payment verified","https://www.upwork.com/jobs/Automation-Specialist-Set-Voice-CRM-Assistant-for-commerce-Brand_~021891039805481490646/?referrer_url_path=find_work_home","AI Automation Specialist: Set up AI Voice & CRM Assistant for E-commerce Brand","We are looking for an experienced AI automation specialist to help us implement AI-driven voice automation and an AI assistant to handle common CRM inquiries for our e-commerce business. We sell on Shopify, so experience setting up automation for Shopify-based businesses is a plus. The initial focus will be on automating customer interactions, improving response efficiency, and reducing manual workload.

Scope of Work:
- Develop and implement AI-driven voice automation for customer engagement and follow-ups.
- Set up an AI-powered CRM assistant to handle common customer inquiries efficiently.
- Integrate AI solutions into our existing Shopify-based e-commerce workflow.
- Optimize and scale automation processes to improve customer experience and operational efficiency.


Ideal Candidate:
- Proven experience in AI-driven voice automation and virtual assistant development.
- Strong understanding of CRM automation, workflow optimization, and Shopify automation.
- Experience working with e-commerce businesses to automate processes and improve efficiency.
- Ability to analyze business processes and implement AI solutions tailored to e-commerce needs.
- Problem-solving mindset with a focus on scalability and automation.

Project Type:
- Initial setup and integration of AI voice automation and CRM assistant, with potential for ongoing collaboration as we expand automation across fulfillment, sales, and other business processes.

If you have experience building AI-powered automation for e-commerce businesses, we’d love to hear from you! Please share relevant past projects and your approach to AI-driven automation.","yesterday","1250.0","Expert","Est. Time:","0.0","","70.0"
"5.0","600000.0","United States","Payment verified","https://www.upwork.com/jobs/Customer-Service-ChatBot-Development-for-CRM-Integration_~021890562966132702728/?referrer_url_path=find_work_home","Customer Service ChatBot Development for CRM Integration","We are seeking a skilled developer to create a Customer Service ChatBot that integrates seamlessly with our CRM system via API calls. The ChatBot should be able to understand and respond to customer inquiries, providing relevant information and enhancing the overall customer experience. The ideal candidate should have experience with chatbot frameworks and CRM systems to ensure effective communication and data retrieval. Strong problem-solving skills and attention to detail are a must for this project.

Relevant Skills:
- Chatbot Development
- API Integration
- CRM System Knowledge
- Natural Language Processing (NLP)
- Problem Solving
- User Experience (UX) Design","2 days ago","1535.0","Intermediate","Est. Time:","0.0","","51.0"
"5.0","500000.0","United States","Payment verified","https://www.upwork.com/jobs/Agent-Specialist-for-SEO-Marketing-Automation_~021891335384959496650/?referrer_url_path=find_work_home","AI Agent Specialist for SEO & Marketing Automation","We are seeking an AI Automation Specialist to develop and manage AI agents for SEO tracking, workflow automation, and AI-driven marketing execution. This role is focused on AI automation rather than traditional SEO work. The ideal candidate should have experience integrating AI tools into SEO processes, automating analytics, and optimizing marketing workflows using AI-powered personalization and tracking.

🔹 Responsibilities:

✅ AI-Powered SEO & Marketing Workflow Automation

Develop and integrate AI-driven SEO tracking systems with GA4, Looker Studio, and Google Tag Manager.

Automate SEO performance reporting, multi-touch attribution, and revenue tracking.

Implement AI-based content creation and keyword optimization workflows.

✅ AI-Driven Website & Marketing Automation

Use n8n, Zapier, Make, OpenAI API, and other AI workflow tools to automate SEO analytics and marketing insights.

Set up AI-driven chatbots, personalization, and retargeting workflows for SEO visitors.

Implement AI-based heatmaps and behavioral tracking to optimize conversion paths.

✅ SEO AI Agent Integration

Connect AI models to identify ranking patterns and optimize strategies.

Configure automated AI analysis to detect content gaps and technical issues.

Set up AI-powered internal linking and automated interlinking strategies.

📌 Required Skills & Experience

✔ Experience developing AI automation workflows using tools like Zapier, Make, LangChain, OpenAI API, or custom Python scripts.
✔ Deep knowledge of GA4, Google Tag Manager, Looker Studio, and multi-touch attribution setup.
✔ Ability to automate keyword research, content generation, and internal linking workflows using AI.
✔ Understanding of AI-powered marketing tools (OptinMonster AI, Klaviyo AI, RightMessage AI).
✔ Experience in setting up AI-based chatbots and predictive analysis tools.
✔ Familiarity with SEO tracking and automation concepts (technical SEO, structured data, schema markup).

LOOM replies to questions are a HUGE plus","3 hours ago","1540.0","Intermediate","Est. Time:","0.0","","47.0"
"5.0","40000.0","Canada","Payment verified","https://www.upwork.com/jobs/Data-Storytelling-Specialist-Tableau-Figma-Consulting-Background_~021890624548590793162/?referrer_url_path=find_work_home","Data Storytelling & UX Specialist (Tableau + Figma + Consulting Background)","Please note: any proposals with spelling mistakes, grammatical errors, AI quirks, or not personalized specifically to this job post will be ignored with prejudice. 

Overview:
We are developing a suite of embedded live, dynamic Tableau-based dashboards and reports for a specific industry and for a vertically-diverse audience (from end-users to senior leadership). 

On the team, we have deep expertise with Tableau, data modelling, and project management, but we are missing someone who can bridge the gap between raw data and a compelling, intuitive user experience.

This role is someone who is part management consultant (for narrative structure), and part product/UX designer (for wireframing, visuals, and user flow). Naturally, someone with Tableau and Figma experience will be an asset, with a focus on the latter vs. the former (as existing Tableau resource will maintain ownership).

Arguably, Figma is not needed - and a consultant with extremely strong memo- and presentation-building skills could be successful as well, but our suite of dashboards and reports are numerous in number, with various workbooks and multiple tabs each - all must be coherently stitched together into a compelling story.

Key Activities:
- Work with stakeholders to understand core business questions, but those questions and any underlying assumptions should be challenged
- Create low-fidelity wireframes and user flows (Tableau dashboards and reports have deep drill-down capabilities on data and multiple levels of workbooks and tabs: all of which have to be cohesively brought together)
- Work with our Tableau Developer and Project Manager to translate wireframes into requirements and Jira-type tasks
- Establish design guidelines, colour schemes, and placement of filters/charts
- Ideally leverage a Figma-Tableau extension to load a Tableau skeleton onto Figma, wireframe and design, then send Tableau file back to Tableau developer so that Figma-established design standards are flowed through

Key Skills:
- Experience at a consulting firm or similar role where you've had to pitch narratives, distilled complex data into crisp, impactful visuals
- UI/UX or Product Design: Proficient in Figma, with strong grasp of layout design, colour theory, and user flows.
- Comfort with Tableau, enough to collaborate with existing Tableau leadership on the team
- Bonus: experience with real estate property metrics

Project input details:
- Likely 10~15 hours initially, with opportunity for continued participation","2 days ago","70110.0","Expert","Est. Time:","0.0","","44.0"
"5.0","400000.0","United States","Payment verified","https://www.upwork.com/jobs/Looking-for-Experience-Developer-Build-Out-Streamlit-App_~021890539960334501386/?referrer_url_path=find_work_home","Looking for Experience Developer to Build Out Streamlit App.","I'm looking for one experience developer that can help build out a couple of simple Streamlit apps.

Apps will range from single API calls to multiple requests with scripts.

Overall nothing too complex. Will provide guidance.

Requirements
 - Minimum 1 Year Experience Building in Streamlit
 - Minimum 4 Years Python Development
 - Fluent in English (Written & Oral)
 - Available for Meetings During US Daytime Hours","2 days ago","1520.0","Intermediate","Est. Time:","0.0","","43.0"
"4.9","300000.0","United States","Payment verified","https://www.upwork.com/jobs/Make-com-Automation-Developer-with-API-LLM-Experience_~021890801698705100916/?referrer_url_path=find_work_home","Make.com Automation Developer with API & LLM Experience","We are seeking a skilled developer to assist with automating workflows using Make.com with the goal of making them long-term usable via clean web-based interfaces outside of Make.com. I have several projects in mind, so the rate is a placeholder. The ideal candidate should have experience integrating external APIs for scraping and searching, and working with various language learning models (LLMs) such as ChatGPT and Perplexity. We typically use Google Sheets for proof-of-concept data handling and prompt storage. You will be responsible for creating seamless connections between different tools and ensuring smooth data flow. If you can work with AI tools quickly, have a strong background in automation and a passion for optimizing processes, we would love to hear from you!","2 days ago","0.0","Expert","Est. Budget:","150.0","","42.0"
"5.0","300000.0","United States","Payment verified","https://www.upwork.com/jobs/Troubleshoot-Existing-Python-Scripts_~021890558676405274122/?referrer_url_path=find_work_home","Troubleshoot Existing Python Scripts","I have a large web of Python scripts and a MongoDB that needs troubleshooting and improvement. 

Looking for someone with extensive experience troubleshooting code.  Please respond to this posting with details of specific experience you have on deciphering and fixing other people's complex code. 

Platforms used:  channel advisor, big commerce, skuvault, lightspeed, shipstation.

We have many custom scripts running to push and pull changes between these platforms as well as scrapers that run to grab data to push to them for the purposes of e-commerce. 

I want to work closely with one skillful and developer, not an agency or team.","2 days ago","2540.0","Expert","Est. Time:","0.0","","42.0"
"4.9","100000.0","United States","Payment verified","https://www.upwork.com/jobs/B2B-Video-Marketing-Funnel-Attribution-Strategist_~021890801242882650570/?referrer_url_path=find_work_home","B2B Video Marketing Funnel & Attribution Strategist","We’re a B2B video marketing agency that helps B2B Tech and SaaS companies build thought leadership and drive demand using expert-led video content. We don’t just create videos, we ensure they convert by strategically integrating them into the buyer’s journey.

We need a full-funnel expert who can map video-driven marketing motions from first touch to last touch, integrating both organic and paid strategies. This expert should also recommend what we’re missing, like landing pages, nurture sequences, or additional touchpoints, and help optimize our existing tech stack for tracking engagement and attribution.

This role is for a strategist, not just a media buyer. We need someone who can visualize the entire marketing workflow and make sure video is being used effectively at every stage of the funnel.

What You’ll Do:

✅ Map the full buyer journey using video – Create a workflow (Vizio equivalent) that integrates ABM, paid social, and organic content
✅ Develop a multi-touch attribution strategy – Ensure we track video engagement and influence on pipeline and revenue
✅ Optimize ad spend & retargeting – Use platforms like LinkedIn Ads, YouTube Ads, 6sense, Warmly, and Clay to drive conversions
✅ Identify gaps in our strategy – Recommend solutions (e.g., landing pages, nurture sequences) that complement our video-first approach
✅ Refine and document best practices – Develop playbooks for repeatable, scalable video distribution strategies
✅ Advise on MarTech stack – Guide tool selection and integration for better engagement tracking & analytics

Who You Are:

🎯 B2B marketing strategist with 5+ years of experience, preferably in cybersecurity or SaaS
📊 Proven track record optimizing video marketing funnels & reducing CAC
📈 Deep understanding of demand gen, ABM, and attribution models
🛠 Hands-on with MarTech tools – LinkedIn Ads, 6sense, Warmly, Clay, HubSpot, or similar
🔍 Process-driven thinker – Comfortable mapping out workflows and creating playbooks

How to Apply:

Send us:
1️⃣ Case studies showing how you’ve used video in demand gen & lead nurturing
2️⃣ Examples of workflows or marketing playbooks you’ve created
3️⃣ Your experience with LinkedIn Ads, retargeting, and ABM strategies

🚀 Looking to start ASAP!","2 days ago","30150.0","Expert","Est. Time:","0.0","","39.0"
"4.9","300000.0","Germany","Payment verified","https://www.upwork.com/jobs/Driven-Backend-Developer-Needed-Long-Term-Opportunity_~021890710465952590384/?referrer_url_path=find_work_home","AI-Driven Backend Developer Needed - Long Term Opportunity","We are seeking experienced backend developers who specialize in AI-driven software development. The ideal candidate is fast, self-accountable, and highly organized. You will be responsible for implementing innovative solutions and optimizing backend processes for our AI projects. Strong problem-solving skills and the ability to work independently are essential. This could be a long-term opportunity for the right candidate with multiple opportunities to grow your earnings based on your performance.","2 days ago","10.0","Intermediate","Est. Time:","0.0","","38.0"
"4.8","200000.0","United States","Payment verified","https://www.upwork.com/jobs/Business-Architect-General-Manager-Build-Scale-Business-from-Scratch_~021890862030911819892/?referrer_url_path=find_work_home","Business Architect / General Manager – Build & Scale a Business from Scratch","We are looking for a highly entrepreneurial, execution-driven leader to build, launch, and scale a business from the ground up. This role is for someone who thrives in ambiguity, enjoys creating systems, and can operate as a mini-CEO—taking full ownership of the company’s success. If you have built businesses before, scaled startups, or been a key operator in a high-growth company, this is your opportunity to take the reins and grow a business with full ownership.

As the first hire and business architect, you will be responsible for everything from business strategy, operations, and automation to hiring, team management, and revenue generation. You will develop the go-to-market strategy, set up systems and processes, drive sales, and recruit key team members as the business scales. This is a hands-on role for a builder and executor, not just a strategist. We need someone who can get things done, iterate quickly, and turn an idea into a fully functional and revenue-generating business.

The ideal candidate has at least 3+ years of experience in entrepreneurship, startups, business operations, or growth roles. You should be resourceful, tech-savvy, and have experience leveraging automation, AI, and digital tools to optimize business workflows. A strong background in digital marketing, sales funnels, and hiring remote teams is a plus. We are looking for someone who is both strategic and hands-on—someone who can map out a plan and execute it effectively.

This role comes with significant upside potential. Compensation includes a base rate + performance-based incentives (profit-sharing, bonuses, or potential equity) for the right candidate. The role is remote and flexible, but we expect full ownership and execution at a high level.

If you’re the kind of person who treats a business as your own, thrives in fast-paced environments, and loves building things from scratch, we want to hear from you. Please review the full job description here:

https://docs.google.com/document/d/1owNz_DLLqgN62QTmcszu4tDHpQxxvSGiwvc0o7ArZA8/edit?usp=sharing

To apply, send a short note on why you’re a fit, along with relevant experience demonstrating your ability to build, optimize, or scale businesses. We move fast—apply today!","yesterday","0.0","Expert","Est. Time:","0.0","","37.0"
