text-caption 2	air3-link	air3-link href	sr-only	sr-only 2	text-light 2	text-light 4	text-light 6	text-light 7	air3-line-clamp	air3-token-skip	sr-only 3	air3-token	air3-token href	air3-token 2	air3-token href 2	air3-token 3	air3-token href 3	air3-token 4	air3-token href 4	air3-token 5	air3-token href 5	air3-token 6	air3-token href 6	air3-token 7	air3-token href 7	air3-token 8	air3-token href 8	sr-only 4	text-light 8	sr-only 5	d-inline-block	text-light 9	d-inline-flex	text-base-sm	air3-btn-link-secondary	sr-only 6
17 minutes ago	Data Engineer Needed with experience in communicating technical solutions and delivering demos	https://www.upwork.com/jobs/Data-Engineer-Needed-with-experience-communicating-technical-solutions-and-delivering-demos_~021884110726168860721/?referrer_url_path=find_work_home	Job feedback Data Engineer Needed with experience in communicating technical solutions and delivering demos	Save job Data Engineer Needed with experience in communicating technical solutions and delivering demos	Hourly	Expert	Est. Time:	30+ hrs/week	"We are looking for a Data Engineer with experience in multiple tools 
- Strong Data Engineering experience with multiple tools such as Azure Data Factory, Fivetran, and dbt
- Experience in communicating technical solutions and delivering demos to clients globally"	Skip skills	Previous skills. Update list	Data Migration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730275061760	ETL Pipeline	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580563717640192	Data Transformation	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1653395611352207360	Data Engineering	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1559203830655479808	Data Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342873194737664	dbt	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1453032798689071104	Snowflake	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1192876992131252224	Data Warehousing & ETL Software	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1484275082647490560	Next skills. Update list	Payment verified	Rating is 5 out of 5.	$1K+	spent	United States	Less than 5		
18 minutes ago	Performance Marketing Manager for Clothing Brand	https://www.upwork.com/jobs/Performance-Marketing-Manager-for-Clothing-Brand_~021884110614197266153/?referrer_url_path=find_work_home	Job feedback Performance Marketing Manager for Clothing Brand	Save job Performance Marketing Manager for Clothing Brand	Fixed-price	Intermediate	Est. Budget:	$175	We are seeking a skilled Performance Marketing Manager to drive our clothing brand's growth through data-driven marketing strategies. The ideal candidate will have experience in digital marketing, with a focus on paid advertising and ROI optimization. You will be responsible for developing and executing campaigns across various platforms, analyzing performance metrics, and collaborating with our creative team to enhance brand visibility. If you are passionate about fashion and have a proven track record in performance marketing, we would love to hear from you!	Skip skills	Previous skills. Update list	Google Ads	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741817786368	Facebook	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208978227208	Social Media Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626781114220544	Instagram	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208978227206	Social Media Management	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626781101637632	Internet Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626749027794944					Next skills. Update list	Payment verified	Rating is 0 out of 5.	$0	spent	India	Less than 5	more	"about ""Performance Marketing Manager for Clothing Brand"""
20 minutes ago	AI-integrated App Development for High-Traffic Platform	https://www.upwork.com/jobs/integrated-App-Development-for-High-Traffic-Platform_~021884110114918187484/?referrer_url_path=find_work_home	Job feedback AI-integrated App Development for High-Traffic Platform	Save job AI-integrated App Development for High-Traffic Platform	Fixed-price	Expert	Est. Budget:	$2,000	We are seeking an experienced app developer to help us create an innovative platform that integrates AI technology and various platforms for our new business idea. The ideal candidate will have expertise in building scalable applications that can handle millions of users. This project requires strong problem-solving skills and a deep understanding of AI algorithms and integration. The developer must be proficient in programming languages such as Python or Java, and have experience in working with popular AI frameworks. The successful candidate will work closely with our team to design, develop, and deploy the app, ensuring a seamless user experience and excellent performance.	Skip skills	Previous skills. Update list	Android	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274376	JavaScript	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274383	Java	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274382	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386							Next skills. Update list	Payment verified	Rating is 5 out of 5.	$11	spent	USA	5 to 10	more	"about ""AI-integrated App Development for High-Traffic Platform"""
25 minutes ago	Google Tag Specialist Needed for Auditing and Implementation	https://www.upwork.com/jobs/Google-Tag-Specialist-Needed-for-Auditing-and-Implementation_~021884108891265263337/?referrer_url_path=find_work_home	Job feedback Google Tag Specialist Needed for Auditing and Implementation	Save job Google Tag Specialist Needed for Auditing and Implementation	Hourly: $5-$50	Expert	Est. Time:	Hours to be determined	We are seeking a highly skilled Google Tag Specialist to assist our clients with tag auditing and implementation. The ideal candidate will have a deep understanding of Google Tag Manager, Google Analytics, and tracking best practices. You will be responsible for reviewing existing tags, recommending improvements, and implementing new tags as needed. If you are detail-oriented and have a passion for optimizing tracking strategies, we would love to hear from you.	Skip skills	Previous skills. Update list	Google Tag Manager	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626742535012352	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192	Google Ads	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741817786368	Meta Pixel	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099370399215616	Microsoft Ads	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1204836466381930496	Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626712596070400					Next skills. Update list	Payment verified	Rating is 5 out of 5.	$600	spent	United States	5 to 10	more	"about ""Google Tag Specialist Needed for Auditing and Implementation"""
30 minutes ago	AI Agent Development for Financial Services using Salesforce and Office 365	https://www.upwork.com/jobs/Agent-Development-for-Financial-Services-using-Salesforce-and-Office-365_~021884107509215216091/?referrer_url_path=find_work_home	Job feedback AI Agent Development for Financial Services using Salesforce and Office 365	Save job AI Agent Development for Financial Services using Salesforce and Office 365	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	We are a financial services organization seeking a skilled developer to create an AI agent aimed at streamlining our processes. The project will involve integrating the AI agent with our existing Salesforce and Office 365 platforms to enhance productivity and efficiency. The ideal candidate will have a strong background in AI development, Salesforce customization, and Office 365 integration. If you have experience in these areas and are passionate about leveraging technology for business optimization, we would love to hear from you.	Skip skills	Previous skills. Update list	Microsoft Excel	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626758615973888	Data Entry	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730136649728	Salesforce CRM	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626776555012096	Lead Generation	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626753582809088	Customer Relationship Management	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626728555397120							Next skills. Update list	Payment verified	Rating is 5 out of 5.	$10K+	spent	United States	15 to 20	more	"about ""AI Agent Development for Financial Services using Salesforce and Office 365"""
48 minutes ago	Experienced Data Analyst Needed for Data Cleaning and Visualization	https://www.upwork.com/jobs/Experienced-Data-Analyst-Needed-for-Data-Cleaning-and-Visualization_~021884102967799005659/?referrer_url_path=find_work_home	Job feedback Experienced Data Analyst Needed for Data Cleaning and Visualization	Save job Experienced Data Analyst Needed for Data Cleaning and Visualization	Hourly: $15-$50	Intermediate	Est. Time:	Less than 30 hrs/week	"We are looking for a skilled Data Analyst in Southeast Asia to join our team. The ideal candidate will possess strong expertise in data cleaning, visualization, and analysis. Your role will involve processing and analyzing datasets to extract meaningful insights, as well as creating visual representations to communicate findings effectively. If you are detail-oriented, proficient in data analysis tools, and have a passion for turning data into actionable strategies, we would love to hear from you.

Responsibilities:

Collect and clean data from various sources, ensuring accuracy and relevance.
Analyze cleaned data to uncover trends, patterns, and insights.
Develop compelling visualizations that clearly communicate these insights.
Move cleaned data to landing page that displays the cleaned dataset and visualizations.
Work collaboratively with cross-functional teams to implement data-driven strategies.
Required Skills and Qualifications:

Proficiency in data analysis tools and programming languages (e.g., SQL, Python, R).
Experience with data visualization tools (e.g., Tableau, Power BI, D3.js).
Strong understanding of statistical analysis and predictive modeling.
Ability to design and develop web interfaces (knowledge of HTML, CSS, JavaScript).
Excellent problem-solving skills and attention to detail.

Initial Screening: Candidates must submit a resume and a cover letter detailing their experience and why they are suitable for this role."	Skip skills	Previous skills. Update list	Microsoft Excel	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626758615973888	Data Analysis	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626729515892736	Data Visualization	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208890146823	Tableau	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626784704544768	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386							Next skills. Update list	Payment verified	Rating is 4.4 out of 5.	$400+	spent	USA	Less than 5	more	"about ""Experienced Data Analyst Needed for Data Cleaning and Visualization"""
51 minutes ago	Retell AI Voice Agent Developer for Custom Business Solution	https://www.upwork.com/jobs/Retell-Voice-Agent-Developer-for-Custom-Business-Solution_~021884102341585224155/?referrer_url_path=find_work_home	Job feedback Retell AI Voice Agent Developer for Custom Business Solution	Save job Retell AI Voice Agent Developer for Custom Business Solution	Hourly	Intermediate	Est. Time:	30+ hrs/week	"We're developing a sophisticated AI Voice Agent system for handling both inbound and outbound calls. The solution must be scalable, maintainable, and integrate seamlessly with existing business tools.


* Must have demonstrable experience with:

AI Voice Platforms (at least one): Retell
Automation platforms: n8n 
LLM Integration: OpenAI API, Claude API, or similar
Voice Processing: Deepgram or Whisper
Integration experience with CRM systems (Salesforce, HubSpot)
API development and webhooks

Project Scope
Phase 1: Voice Agent Development

Design and implement conversation flows for both inbound/outbound scenarios
Handle dynamic data injection into conversations
Implement fallback scenarios and error handling
Set up analytics and monitoring

Phase 2: Integration & Automation

Create automated workflows for data processing
Build CRM integration for lead/customer data
Implement calendar scheduling system
Develop reporting system for call metrics

Phase 3: Testing & Optimization

A/B testing different conversation flows
Performance optimization
Scale testing
Documentation creation

* Required Deliverables

Complete source code with documentation
Deployment scripts and infrastructure setup
Integration documentation
Testing results and performance metrics
Training materials for system management

* To Apply, Please Include:

Links to similar AI Voice Agent projects you've built
Specific experience with mentioned technologies
Sample code or architecture diagram from a relevant project

* Your approach to handling:
Natural conversation flow
Error cases
System scalability
Data privacy/security


*** Red Flags That Will Disqualify your application automatically:
Generic responses not addressing specific technical requirements
No demonstrable experience with AI voice platforms
Lack of integration experience
Unable to provide specific examples of similar projects

Budget & Timeline
Approx 1 to 2 months and then this can become a fulltime if you wish to stay on.
Weekly progress reports are required

Bonus Skills

Experience with:

Multiple voice AI platforms
Custom LLM fine-tuning
Voice cloning technologies
High-volume call handling
Real-time analytics implementation

Only apply if you have direct experience building AI Voice Agents. Generic AI or chatbot experience alone is not sufficient."	Skip skills	Previous skills. Update list	AI Agent Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314245873665	AI App Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314241679360	AI Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314254262272	AI Bot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314170376192	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	Chatbot Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626723769696256	API Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482566246400	Twilio API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626791381876736	Next skills. Update list	Payment verified	Rating is 4.7 out of 5.	$50K+	spent	Canada	10 to 15	more	"about ""Retell AI Voice Agent Developer for Custom Business Solution"""
55 minutes ago	Use DeepSeek to create an Internal Dashboard	https://www.upwork.com/jobs/Use-DeepSeek-create-Internal-Dashboard_~021884101369520700060/?referrer_url_path=find_work_home	Job feedback Use DeepSeek to create an Internal Dashboard	Save job Use DeepSeek to create an Internal Dashboard	Hourly: $10-$15	Intermediate	Est. Time:	30+ hrs/week	I need you to use Ai to create a dashboard that can trigger some API’s with openAi or DeepSeek, AWS, and Google drive. You should be able to use Ai to also generate the code for the repository and program as well so most of the code will be able to be generated and adjusted this way.	Skip skills	Previous skills. Update list	Software Design	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580698442878976	Web Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626795211276288													Next skills. Update list	Payment verified	Rating is 4.9 out of 5.	$10K+	spent	United States	5 to 10		
1 hour ago	Mixpanel Analytics Integration for User Tracking & Facebook Ads	https://www.upwork.com/jobs/Mixpanel-Analytics-Integration-for-User-Tracking-Facebook-Ads_~021884100043738954396/?referrer_url_path=find_work_home	Job feedback Mixpanel Analytics Integration for User Tracking & Facebook Ads	Save job Mixpanel Analytics Integration for User Tracking & Facebook Ads	Fixed-price	Intermediate	Est. Budget:	$200	We are seeking an experienced freelancer to integrate Mixpanel Analytics into our platform for comprehensive user tracking and Facebook ad conversion analysis. The ideal candidate will have a solid understanding of analytics integration, enabling us to gain valuable insights into user behavior and ad performance. Responsibilities include setting up Mixpanel, ensuring accurate data capture, and providing reports on user interactions and ad effectiveness. If you have a passion for data analytics and a knack for optimizing ad campaigns, we'd love to hear from you!	Skip skills	Previous skills. Update list	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192	Google Tag Manager	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626742535012352	Mixpanel	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626760063008768	Google Ads	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741817786368	Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626712596070400							Next skills. Update list	Payment unverified	Rating is 0 out of 5.	$0	spent	India	Less than 5	more	"about ""Mixpanel Analytics Integration for User Tracking & Facebook Ads"""
1 hour ago	Marketing Campaign Specialist	https://www.upwork.com/jobs/Marketing-Campaign-Specialist_~021884099381140247087/?referrer_url_path=find_work_home	Job feedback Marketing Campaign Specialist	Save job Marketing Campaign Specialist	Hourly: $8-$25	Intermediate	Est. Time:	Less than 30 hrs/week	"About Us
We’re on a mission to revolutionize medical research with our cutting-edge AI application. Our product is designed to make medical research more efficient, empowering biopharmaceutical professionals, university students, and researchers with advanced AI-driven solutions. Currently in its prototype phase, the application is set to launch mid-February, and we’re gearing up to make a strong impact across key audiences.

The Role
We’re seeking a Marketing Campaign Specialist to develop and execute highly targeted social media campaigns. This individual will help us create awareness, generate engagement, and attract our ideal audiences on platforms such as LinkedIn, Facebook, Instagram, and X (formerly Twitter). We also want to set up an initial email marketing campaign to send to prospective clients.

Responsibilities

Social Media Campaign Strategy: Design and execute campaigns targeting professional biopharmaceutical clients on LinkedIn and university students/researchers on other social media platforms.
Audience Targeting: Use analytics and insights to identify and engage the right audiences across different channels.
Ad Campaign Management: Plan, create, and manage ad campaigns on Facebook, Instagram, LinkedIn, and X to drive engagement and conversions.
Content Creation: Collaborate with our team to develop compelling visuals and messaging tailored to each platform and audience.
Analytics and Reporting: Track and analyze campaign performance using backend tools, providing detailed reports and actionable insights to optimize future campaigns.
Engagement Optimization: Ensure campaigns are designed to foster meaningful interactions and measurable engagement.
Email marketing: initial campaign to clients regarding new product.

Requirements
Proven experience managing and optimizing social media ad campaigns, specifically on Facebook, Instagram, LinkedIn, and X.
Strong knowledge of audience segmentation and targeting strategies, particularly for professional and academic demographics.
Expertise in analytics tools (e.g., Meta Ads Manager, LinkedIn Campaign Manager) to measure campaign performance and provide data-driven recommendations.
Exceptional communication skills, with the ability to craft content that resonates with diverse audiences.
Familiarity with the biotech, pharmaceutical, or medical research industries is a plus.
A results-driven mindset with a portfolio showcasing successful campaigns."	Skip skills	Previous skills. Update list	Marketing Strategy	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626756493656064	Google Ads	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741817786368	Campaign Management	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626722553348096	Facebook	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208978227208	Email Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626734741995520	Social Media Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626781114220544	Internet Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626749027794944	Campaign Reporting	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1534904403189121024	Next skills. Update list	Payment verified	Rating is 5 out of 5.	$30K+	spent	United Kingdom	10 to 15	more	"about ""Marketing Campaign Specialist"""
