text-caption 2	air3-link	air3-link href	sr-only	sr-only 2	text-light 2	text-light 4	text-light 6	text-light 7	air3-line-clamp	air3-btn-link-secondary	sr-only 3	air3-token	air3-token href	air3-token 2	air3-token href 2	air3-token 3	air3-token href 3	text-light 8	sr-only 6	d-inline-block	d-inline-flex	text-base-sm	air3-token 4	air3-token href 4	air3-token 5	air3-token href 5	air3-token 6	air3-token href 6	air3-token 7	air3-token href 7	air3-token 8	air3-token href 8	air3-token 9	air3-token href 9
10 minutes ago	🚀 Hiring a WhatsApp Chatbot Expert with AI Integration – Long-Term Position	https://www.upwork.com/jobs/Hiring-WhatsApp-Chatbot-Expert-with-Integration-Long-Term-Position_~021884906399138424166/?referrer_url_path=find_work_home	Job feedback 🚀 Hiring a WhatsApp Chatbot Expert with AI Integration – Long-Term Position	Save job 🚀 Hiring a WhatsApp Chatbot Expert with AI Integration – Long-Term Position	Hourly: $3-$15	Intermediate	Est. Time:	30+ hrs/week	"Job Description:
We are looking for an experienced WhatsApp chatbot expert who can integrate AI to develop smart automation solutions for lead management and customer experience enhancement. The ideal candidate will work closely with our digital agency's clients, providing innovative solutions and optimizing sales and customer service processes.

Responsibilities:
✅ Develop and customize advanced WhatsApp chatbots with AI integration
✅ Create automation flows for lead management, customer interactions, and deal closures
✅ Integrate chatbots with CRM systems and digital marketing platforms
✅ Continuously optimize chatbot performance and propose creative improvements
✅ Provide ongoing support and guidance to our agency’s clients

Requirements:
🔹 Proven experience in developing WhatsApp chatbots (preferably using WhatsApp API)
🔹 Strong expertise in AI-powered chatbot solutions for sales and customer service
🔹 Proficiency in automation tools (Zapier, Make, etc.)
🔹 Experience with lead management and eCommerce – a significant advantage
🔹 Native-level English – Required
🔹 Hebrew – Advantageous
🔹 Availability for a long-term collaboration
🔹 Must be available for a Zoom call to showcase past chatbot projects

📩 If you have the required skills and experience, send us your portfolio and schedule a Zoom call to present your work."	more	"about ""🚀 Hiring a WhatsApp Chatbot Expert with AI Integration – Long-Term Position"""	Chatbot Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626723769696256	WhatsApp	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626795584569344	Chatbot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342869935763456	Payment verified	Rating is 4.9 out of 5.	$1K+	Israel	Less than 5												
12 minutes ago	Conversion Rate Optimization (CRO) Specialist	https://www.upwork.com/jobs/Conversion-Rate-Optimization-CRO-Specialist_~021884905840394216806/?referrer_url_path=find_work_home	Job feedback Conversion Rate Optimization (CRO) Specialist	Save job Conversion Rate Optimization (CRO) Specialist	Hourly: $30-$85	Expert	Est. Time:	30+ hrs/week	"We’re looking for a skilled Conversion Rate Optimization Specialist to help us improve two key metrics:
- Increase the percentage of visitors from our pricing page who complete registrations.
- Boost the percentage of registrations that convert into purchases.

Bonus: Experience in SaaS or subscription-based businesses.

If you’re ready to make an impact, apply with:
- A brief intro about yourself.
- Examples of past CRO projects and results.
- Your proposed approach to our challenges."	more	"about ""Conversion Rate Optimization (CRO) Specialist"""	Customer Acquisition Strategy	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1204836451458596864	Customer Retention Strategy	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1204836451601203200	Conversion Rate Optimization	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626727209025536	Payment verified	Rating is 5.0 out of 5.	$700K+	Hong Kong	Less than 5	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192	A/B Testing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626708179468288	Visual Website Optimizer	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626793839738880	Google Optimize	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1192876974120910848	Google Ads	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741817786368	Convert Experiences	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580528540012544
14 minutes ago	Developer Needed for Cliniko API Integration – Automated Session Tracking	https://www.upwork.com/jobs/Developer-Needed-for-Cliniko-API-Integration-Automated-Session-Tracking_~021884905453509888037/?referrer_url_path=find_work_home	Job feedback Developer Needed for Cliniko API Integration – Automated Session Tracking	Save job Developer Needed for Cliniko API Integration – Automated Session Tracking	Hourly: $20-$40	Intermediate	Est. Time:	Less than 30 hrs/week	"Title: Developer Needed for Cliniko API Integration – Automated Session Tracking

Description:
We run a physiotherapy clinic and need an automated way to track how many treatment sessions a patient has used in Cliniko. Currently, we sell treatment packages (e.g., 6, 9, or 12 sessions) but have no easy way to track remaining sessions.

Key Features Needed:
✅ Deduct sessions automatically when an appointment is marked ""Completed"" in Cliniko.
✅ Show remaining sessions for each patient in a dashboard or report.
✅ Send notifications to staff (and optionally to patients) when sessions are running low.
✅ Ensure data updates in real-time with minimal manual input.
✅ Optional: Integration with Google Sheets, Slack, or email alerts.

Ideal Skills:

Experience with Cliniko API or similar practice management software APIs.
Proficiency in Python (Flask/Django) or JavaScript (Node.js).
Experience with Google Sheets API, Zapier, or Make (Integromat) for automation.
Good understanding of web dashboards (if needed).
To Apply, Please Answer:
1️⃣ Have you worked with Cliniko API before? If not, what similar APIs have you worked with?
2️⃣ How would you approach session tracking for patients?
3️⃣ How long would a basic version of this project take to complete?

We’re open to suggestions on the best way to implement this. Looking for a developer who can deliver a simple, automated, and scalable solution."	more	"about ""Developer Needed for Cliniko API Integration – Automated Session Tracking"""	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	JavaScript	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274383	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Payment verified	Rating is 0 out of 5.	$0	United Kingdom	5 to 10	PHP	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274385	API Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482566246400								
25 minutes ago	URGENT: AWS/ML Engineer for Chrome Extension + DeepSeek Integration - Start Tonight ($1300)	https://www.upwork.com/jobs/URGENT-AWS-Engineer-for-Chrome-Extension-DeepSeek-Integration-Start-Tonight-1300_~021884902571142254611/?referrer_url_path=find_work_home	Job feedback URGENT: AWS/ML Engineer for Chrome Extension + DeepSeek Integration - Start Tonight ($1300)	Save job URGENT: AWS/ML Engineer for Chrome Extension + DeepSeek Integration - Start Tonight ($1300)	Fixed-price	Expert	Est. Budget:	$1,300	"Need experienced AWS/ML engineer for urgent completion of Chrome extension with DeepSeek LLM integration. Extension is 70% complete - requires Cognito auth, DeepSeek on EC2, and frontend completion. This is for a demo version needed by Friday morning.

Tech Stack:
- AWS (Cognito, EC2, Lambda, DynamoDB) 
- DeepSeek LLM deployment
- Chrome Extension/React
- TypeScript

Must Have:
- Available to start IMMEDIATELY (working session tonight)
- Experience with LLM deployment on AWS
- AWS auth/infrastructure experience
- Ability to work fast and independently
- Can join calls/working session tonight

Project Scope:
- Implement Cognito auth
- Deploy DeepSeek on EC2
- Set up required APIs
- Complete frontend integration
- Get demo-ready by Friday AM

This is for a working demo - doesn't need to be perfect. Additional 2 weeks of work available after MVP for refinements and improvements at standard rates.

Please respond only if you:
1. Can start immediately
2. Are available for working session tonight
3. Have relevant AWS/ML experience
4. Can complete by Friday morning

Message with your experience and immediate availability for discussion."	more	"about ""URGENT: AWS/ML Engineer for Chrome Extension + DeepSeek Integration - Start Tonight ($1300)"""	Chatbot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342869935763456	Amazon Cognito	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626711853678592	Amazon DynamoDB	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626711895621632	Payment verified	Rating is 0 out of 5.	$0	United States	5 to 10	Node.js	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626762999021568	CSS	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626728794472448								
27 minutes ago	Senior GenAI Specialist Needed for Innovative Projects	https://www.upwork.com/jobs/Senior-GenAI-Specialist-Needed-for-Innovative-Projects_~021884902134385166374/?referrer_url_path=find_work_home	Job feedback Senior GenAI Specialist Needed for Innovative Projects	Save job Senior GenAI Specialist Needed for Innovative Projects	Fixed-price	Expert	Est. Budget:	$23,555	We are seeking a highly skilled Senior GenAI Specialist with at least 5 years of experience to join our team. The ideal candidate will have a deep understanding of generative AI technologies and their applications in various industries. You will be responsible for developing cutting-edge AI models, optimizing performance, and collaborating with cross-functional teams to deliver innovative solutions. If you are passionate about AI and have a proven track record in this field, we would love to hear from you!	more	"about ""Senior GenAI Specialist Needed for Innovative Projects"""	Vector Database	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099315080540161	AWS Bedrock	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	Embedding models	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	Payment verified	Rating is 0 out of 5.	$0	India	Less than 5	Prompt Engineering	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1623716864308154368	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Gen AI	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	ML Frameworks	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text				
40 minutes ago	Website Development Project	https://www.upwork.com/jobs/Website-Development-Project_~021884898839599064205/?referrer_url_path=find_work_home	Job feedback Website Development Project	Save job Website Development Project	Fixed-price	Expert	Est. Budget:	$10	"Website Developer (AI & Web Integrations)
Location: Remote  
Company: Division50
Salary : TBD

About the Role
Division5o is looking for a **Website Developer** with expertise in WordPress, Shopify, and AI integrations to build and optimize high-performing websites. This role requires a strong technical foundation in web development, experience with AI-powered tools, and a passion for enhancing user experiences through automation and seamless digital interactions.  

Key Responsibilities

Website Development & Maintenance  
- Design, develop, and maintain responsive websites on WordPress and Shopify.
- Customize themes, plugins, and templates to align with branding and project requirements.  
- Optimize website performance, SEO, and cross-browser compatibility.  
- Implement secure and scalable solutions to support business operations and user interactions.  

AI Integration 
- Integrate and optimize AI chatbots and automation tools for real-time customer engagement.  
- Implement AI-driven features to improve user experience, personalization, and data-driven decision-making.  
- Work with APIs and machine learning models to enhance website functionalities.  

Technical Support
- Troubleshoot and resolve website issues efficiently.  
- Ensure website security, updates, and ongoing technical enhancements.  
- Monitor site performance and implement improvements to enhance speed and usability.  

Collaboration
- Work closely with designers, marketers, and stakeholders to align website features with business goals.  
- Stay updated on web development, AI advancements, and e-commerce trends to enhance digital experiences.  
- Provide technical recommendations for improving user engagement and conversion rates.  

Qualifications

Technical Skills 
- Proven experience in WordPress and Shopify development, including theme customization and plugin integration.  
- Proficiency in HTML, CSS, JavaScript, PHP, and Liquid (for Shopify).  
- Experience with AI chat tools like Chatgpt, Dialog flow, or other NLP-based solutions.  
- Strong understanding of REST APIs, third-party integrations, and automation tools.  
- Expertise in responsive design, mobile-first development, and website accessibility.  

Additional Skills (Preferred)  
- Knowledge of UI/UX best practices to enhance website usability.  
- Experience with website analytics tools (Google Analytics, Tag Manager, Hotjar, etc.).  
- Understanding of e-commerce, digital marketing, and automation strategies.  

Soft Skills
- Strong problem-solving skills and attention to detail.  
- Excellent communication and collaboration abilities.  
- Ability to manage multiple projects and meet deadlines in a fast-paced environment.  

Why Join Us?
- Be part of an innovative team at the intersection of web development, AI, and digital transformation.  
- Work on cutting-edge projects that leverage automation and AI to enhance digital experiences.  
- Enjoy a flexible, remote work environment with opportunities for professional growth.  

If you’re passionate about web development and AI-driven digital solutions, we’d love to hear from you!  

📩 Apply now and help shape the future of AI-powered web experiences."	more	"about ""Website Development Project"""	AI Agent Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314245873665	AI Bot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314170376192	AI Model Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1623716863997775872	Payment verified	Rating is 4.7 out of 5.	$50K+	United Arab Emirates	Less than 5	Web Application	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580737240190976	AI App Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314241679360	API Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482566246400	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192	Web Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626795211276288	WordPress	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208999198724
48 minutes ago	AI Voice Model Training Specialist	https://www.upwork.com/jobs/Voice-Model-Training-Specialist_~021884896755286755365/?referrer_url_path=find_work_home	Job feedback AI Voice Model Training Specialist	Save job AI Voice Model Training Specialist	Fixed-price	Intermediate	Est. Budget:	$1,000	We are seeking an experienced AI Voice Model Training Specialist to enhance our existing voice model. The ideal candidate will have a strong background in AI and machine learning, specifically in training voice models. Your main responsibility will be to integrate new data and refine the model for improved accuracy and performance. If you have a passion for voice technology and can deliver results, we want to hear from you.	more	"about ""AI Voice Model Training Specialist"""	Machine Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626755474440192	Deep Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730904207360	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	Payment verified	Rating is 5.0 out of 5.	$200K+	Djibouti	15 to 20	US English Dialect	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208772706308	TensorFlow	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626785698594816								
51 minutes ago	AI Builder with Gohighlevel and Synthflow Expertise Needed	https://www.upwork.com/jobs/Builder-with-Gohighlevel-and-Synthflow-Expertise-Needed_~021884896101631368319/?referrer_url_path=find_work_home	Job feedback AI Builder with Gohighlevel and Synthflow Expertise Needed	Save job AI Builder with Gohighlevel and Synthflow Expertise Needed	Hourly: $30-$75	Intermediate	Est. Time:	Less than 30 hrs/week	We are seeking a skilled AI builder with expertise in Gohighlevel and the AI voice platform Synthflow. The ideal candidate will be responsible for developing a work flow for demo purposes tailored to partially streamline reception and concierge operations.  You should have experience in integrating voice technologies and automation tools. If you are passionate about leveraging AI to drive business success, we want to hear from you!	more	"about ""AI Builder with Gohighlevel and Synthflow Expertise Needed"""	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	Bot Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626721043398656	Automated Workflow	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1270387293403987968	Payment verified	Rating is 0 out of 5.	$0	France	5 to 10	AI Builder	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099313604145152	AI automation	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text								
57 minutes ago	Conversion API Expert (Facebook & Google Ads) + Assisted Sales Conversion	https://www.upwork.com/jobs/Conversion-API-Expert-Facebook-Google-Ads-Assisted-Sales-Conversion_~021884894506639762573/?referrer_url_path=find_work_home	Job feedback Conversion API Expert (Facebook & Google Ads) + Assisted Sales Conversion	Save job Conversion API Expert (Facebook & Google Ads) + Assisted Sales Conversion	Fixed-price	Intermediate	Est. Budget:	$70	"Conversion API Expert (Facebook & Google Ads) + Assisted Sales Conversion

We are looking for a Conversion API Expert with experience in Facebook Ads & Google Ads. The ideal candidate should be skilled in setting up CAPI (Conversion API), Enhanced Conversions, Offline Conversion Tracking, and CRM integration to improve attribution and lead tracking. Experience in Assisted Sales Conversion optimization and GTM-based implementation is a plus."	more	"about ""Conversion API Expert (Facebook & Google Ads) + Assisted Sales Conversion"""	Google Ads	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741817786368	Google Tag Manager	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626742535012352	Facebook	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1052162208978227208	Payment verified	Rating is 4.7 out of 5.	$7K+	India	5 to 10	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192										
3 hours ago	AI Developer – Legal Domain Specialist	https://www.upwork.com/jobs/Developer-Legal-Domain-Specialist_~021884854326935495821/?referrer_url_path=find_work_home	Job feedback AI Developer – Legal Domain Specialist	Save job AI Developer – Legal Domain Specialist	Hourly: $25-$47	Expert	Est. Time:	Less than 30 hrs/week	"We are seeking an experienced and innovative AI Developer to design and implement cutting-edge AI-driven applications within our case management software to enhance work efficiency in a dynamic law firm environment. The ideal candidate will have a strong background in artificial intelligence and machine learning, coupled with an aptitude for understanding the legal domain. You will collaborate with legal professionals and technical teams to develop intelligent solutions that streamline workflows, automate repetitive tasks, and improve decision-making processes.

Key Responsibilities:
AI Solution Development:
Design, develop, and deploy AI-powered features in case management software tailored to the legal domain.
Implement intelligent document processing (e.g., automated document review, classification, and extraction of legal data).
Build AI models for predictive analytics (e.g., case outcomes, workload management, or legal strategy suggestions).
Domain Understanding:
Engage with legal professionals to understand workflows, pain points, and key opportunities for AI-driven efficiency.
Translate complex legal requirements into technical solutions.
Automation and Optimization:
Develop natural language processing (NLP) solutions for legal document summarization, contract analysis, and search optimization.
Implement chatbots or virtual assistants to enhance client and team interactions.
Data Management and Security:
Handle large-scale, sensitive legal datasets with strict adherence to confidentiality and data protection laws.
Develop secure, scalable, and efficient AI systems aligned with legal standards.
Collaboration and Communication:
Work closely with case management software developers, legal consultants, and other stakeholders.
Provide training and support to legal teams on using AI-driven tools effectively."	more	"about ""AI Developer – Legal Domain Specialist"""	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Natural Language Processing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626761858170880	Payment unverified	Rating is 0 out of 5.	$0	India	Less than 5	Machine Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626755474440192										
