text-caption 2	air3-link	air3-link href	sr-only	sr-only 2	text-light 2	text-light 4	text-light 6	text-light 7	air3-line-clamp	air3-btn-link-secondary	sr-only 3	air3-token	air3-token href	air3-token 2	air3-token href 2	air3-token 3	air3-token href 3	air3-token 4	air3-token href 4	air3-token 5	air3-token href 5	air3-token 6	air3-token href 6	air3-token 7	air3-token href 7	air3-token 8	air3-token href 8	air3-token 9	air3-token href 9	text-light 8	sr-only 6	d-inline-block	d-inline-flex	text-base-sm
31 minutes ago	"AI Developer (Voice Bots, Chatbots, Social Media Bots)
Automation"	https://www.upwork.com/jobs/Developer-Voice-Bots-Chatbots-Social-Media-Bots-Automation_~021889544853830127369/?referrer_url_path=find_work_home	"Job feedback AI Developer (Voice Bots, Chatbots, Social Media Bots)
Automation"	"Save job AI Developer (Voice Bots, Chatbots, Social Media Bots)
Automation"	Hourly: $20-$40	Intermediate	Est. Time:	30+ hrs/week	"AI Developer (Voice Bots, Chatbots, Social Media Bots) Automation 

🚀 We’re Hiring AI Developers! 🚀

Looking for skilled AI developers with proven experience in building AI agents to join our team! We need experts who can create:

✅ Voice Bots (Conversational AI, IVR, TTS)
✅ Chatbots (LLM-powered, GPT, RAG)
✅ Social Media Bots (Automated engagement, content creation)

🔹 Must-Have Skills:
	•	Strong experience in AI agent development
	•	Expert in prompt engineering & fine-tuning
	•	Proficiency in LLMs (GPT, Claude, Mistral, etc.)
	•	Knowledge of APIs, NLP, and automation tools

💰 Freelance / Remote / Competitive Pay

Apply now and build the future of AI with us! 🚀"	more	"about ""AI Developer (Voice Bots, Chatbots, Social Media Bots)
Automation"""	AI Trading	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099332042305537	Data Extraction	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730153426944	API Integration	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482566246400	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	Chatbot Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626723769696256	Automation	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626717876699136	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	Deep Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730904207360	Payment verified	Rating is 5.0 out of 5.	$100	Canada	Less than 5
36 minutes ago	Build LLM for Trading Data	https://www.upwork.com/jobs/Build-LLM-for-Trading-Data_~021889543468079032575/?referrer_url_path=find_work_home	Job feedback Build LLM for Trading Data	Save job Build LLM for Trading Data	Hourly	Intermediate	Est. Time:	Less than 30 hrs/week	We are seeking an experienced AI specialist to assist in training a large language model (LLM) using extensive trading data. The ideal candidate will have a deep understanding of AI and machine learning techniques, as well as a strong background in financial markets. Your expertise will help us enhance our AI system's performance and accuracy in trading applications. If you have a proven track record of training AI models and working with financial datasets, we would love to hear from you. Please include examples of your previous work in your application.	more	"about ""Build LLM for Trading Data"""	Machine Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626755474440192	Data Science	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730384113664	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	Data Analysis	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626729515892736									Payment verified	Rating is 5.0 out of 5.	$20K+	United States	Less than 5
45 minutes ago	Social Media Bot Developer for Non-Profit Grant Promotion	https://www.upwork.com/jobs/Social-Media-Bot-Developer-for-Non-Profit-Grant-Promotion_~021889541251565067589/?referrer_url_path=find_work_home	Job feedback Social Media Bot Developer for Non-Profit Grant Promotion	Save job Social Media Bot Developer for Non-Profit Grant Promotion	Hourly: $13-$45	Expert	Est. Time:	Less than 30 hrs/week	"We are launching an exciting non-profit grant initiative and are looking for a skilled developer to help us spread the word across various social media platforms. Specifically, we need someone to create, deploy, and manage an automated bot that can promote the grant opportunity effectively, targeting the right audiences while adhering to platform guidelines.

Responsibilities:

- Develop and deploy a bot to share grant-related content across platforms (e.g., Twitter/X, Instagram, LinkedIn, Reddit, Facebook, etc.)
- Ensure compliance with platform-specific rules and policies to avoid bans or restrictions
- Automate targeted messaging, posting schedules, and engagement (likes, comments, follows where applicable)
- Monitor the bot’s performance and make real-time adjustments
- Provide documentation and guidance for ongoing management and updates

Requirements:

- Proven experience in bot development and deployment for social media
- Familiarity with API integrations for major social platforms
- Understanding of social media policies to avoid spamming or shadow-banning
- Ability to target relevant communities and hashtags for maximum reach
- Strong communication and problem-solving skills

Bonus Skills:

- Experience promoting non-profit initiatives
- Knowledge of growth hacking strategies for social campaigns
- Familiarity with grant-making organizations

Deliverables:

- Fully functional and tested bot ready for deployment
- Strategy for content distribution and community engagement
- Detailed instructions for post-launch maintenance

Project Timeline:
We aim to launch the campaign as soon as possible. This project requires immediate availability and quick turnaround.

How to Apply:
Please provide examples of similar projects you've worked on, along with a brief description of your approach to this project."	more	"about ""Social Media Bot Developer for Non-Profit Grant Promotion"""	Social Media Marketing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626781114220544																	Payment verified	Rating is 5.0 out of 5.	$100K+	Poland	Less than 5
51 minutes ago	GA4 Expert Needed for Cross-Domain Tracking Configuration	https://www.upwork.com/jobs/GA4-Expert-Needed-for-Cross-Domain-Tracking-Configuration_~021889539793243315525/?referrer_url_path=find_work_home	Job feedback GA4 Expert Needed for Cross-Domain Tracking Configuration	Save job GA4 Expert Needed for Cross-Domain Tracking Configuration	Hourly: $35-$60	Expert	Est. Time:	Hours to be determined	"We are seeking a Google Analytics 4 (GA4) expert to assist with configuring cross-domain tracking for our websites. The ideal candidate will have a deep understanding of GA4 features and implementation strategies. You will work closely with our team to ensure accurate data collection across multiple domains, enhancing our analytics capabilities. Experience in troubleshooting tracking issues and optimizing GA4 setups is essential. If you are passionate about analytics and can deliver precise configurations, we would love to hear from you!

Responsibilities:

GA4 Implementation:
-Setup and configuration of Google Analytics 4 (GA4) across web and mobile platforms.
-Define and implement tracking requirements in collaboration with stakeholders.
-Ensure accurate event tracking, parameter configuration setup.

Google Tag Manager (GTM):
-Deploy and manage tracking tags using GTM.
-Configure triggers, variables, and custom tags to capture necessary data points.
-Ensure data accuracy and consistency.

Cross-Domain and Cross-Platform Tracking:
-Implement cross-domain tracking to maintain user sessions across multiple domains.
-Ensure seamless tracking across web, mobile apps, and other digital platforms.

BigQuery Integration:
-Link GA4 properties to BigQuery for data export.
-Set up and manage scheduled data exports to ensure continuous data flow.
-Optimize data structures and queries for efficient data analysis.

Data Validation and Optimization:
-Conduct thorough testing and validation of tracking setups.
-Identify and resolve any data discrepancies or tracking issues."	more	"about ""GA4 Expert Needed for Cross-Domain Tracking Configuration"""	BigQuery	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626719441174528	Google Analytics	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626741842952192	Google Tag Manager	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626742535012352	JavaScript	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274383											Payment verified	Rating is 0 out of 5.	$0	Australia	Less than 5
53 minutes ago	Neo4j Graph Database Developer	https://www.upwork.com/jobs/Neo4j-Graph-Database-Developer_~021889539350806885690/?referrer_url_path=find_work_home	Job feedback Neo4j Graph Database Developer	Save job Neo4j Graph Database Developer	Hourly: $10-$13.67	Intermediate	Est. Time:	Less than 30 hrs/week	"Job Title: Neo4j Graph Database Developer
Experience: 5-8 Years
Shift: Regular
Notice Period: Immediate only
Contract Duration: Initial 3 months

Job Description:
We are seeking a Neo4j Graph Database Developer with strong experience in graph database technologies, particularly Neo4j. The ideal candidate will be responsible for designing, implementing, and maintaining graph database solutions and collaborating with other team members to ensure that data relationships and analysis are managed effectively.

Key Responsibilities:

Design & Implement Graph Database Solutions:
Design and implement graph database schemas and models using Neo4j.
Develop and optimize Cypher queries to handle complex data relationships and provide efficient data retrieval.

ETL Processes:
Create, optimize, and maintain ETL (Extract, Transform, Load) processes for smooth data ingestion into Neo4j.
Ensure data integrity and smooth transition across systems.

Graph Algorithms & Data Analysis:
Implement and optimize graph algorithms to extract insights from graph data.
Work with data scientists and analysts to apply graph-based analysis to business solutions.

Integration & Optimization:
Integrate Neo4j with other systems and applications for seamless data flow.
Optimize Neo4j database performance, security, and scalability to meet the project requirements.

Technical Guidance & Mentorship:
Provide technical leadership and mentorship to junior developers and other team members.
Collaborate with team members to foster innovation and share best practices related to graph databases.

Staying Updated:
Stay up-to-date with the latest features, updates, and best practices in Neo4j.
Continuously improve database management strategies and techniques.

Required Qualifications:
Bachelor’s degree in Computer Science, Information Technology, or a related field.
3+ years of experience working with Neo4j and graph databases.
Strong proficiency in Cypher query language to query and manipulate graph data.
Experience with graph data modeling and schema design to fit business needs.
Strong understanding of graph theory and graph algorithms.
Proficiency in at least one programming language, such as Java, Python, or JavaScript.
Experience working with ETL processes and data integration.
Familiarity with agile development methodologies for collaborative development.

Preferred Qualifications:
Neo4j certification is highly desirable.
Experience with Neo4j’s extension APIs and plugins to extend database functionality.
Familiarity with other NoSQL databases such as MongoDB, Cassandra, etc.
Experience working with cloud platforms like AWS, Azure, or GCP.
Knowledge of data visualization tools such as Tableau or D3.js for visualizing graph data.
Understanding of machine learning concepts and their application to graph data."	more	"about ""Neo4j Graph Database Developer"""	NoSQL databases	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	aws	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	azure	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	GCP	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=free_text	Tableau	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626784704544768	D3.js	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626729314566144	Neo4j	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364627995914248					Payment verified	Rating is 0 out of 5.	$0	India	Less than 5
56 minutes ago	Seeking Visionary Engineer for Cutting-Edge Web3 AI Project	https://www.upwork.com/jobs/Seeking-Visionary-Engineer-for-Cutting-Edge-Web3-Project_~021889538541357279487/?referrer_url_path=find_work_home	Job feedback Seeking Visionary Engineer for Cutting-Edge Web3 AI Project	Save job Seeking Visionary Engineer for Cutting-Edge Web3 AI Project	Hourly	Expert	Est. Time:	30+ hrs/week	"We’re on a mission to revolutionize digital art with Artgeist, an avant-garde AI agent blending surrealism and blockchain technology. 

We’ve already made impressive progress on our Twitter agent using ElizaOS, and our landing page design is shaping up to be one of the best in the market. 

Now, we're looking for a talented engineer to partner with us and bring the vision to life!

What You’ll Do:

Enhance and integrate our new, powerful AI model for the Artgeist Twitter agent.

Collaborate on finalizing the NFT generation and deployment pipeline.

Optimize the agent’s interaction entropy to ensure unique, human-like tweets.

Work closely with the founder who is leading the design and strategic direction."	more	"about ""Seeking Visionary Engineer for Cutting-Edge Web3 AI Project"""	JavaScript	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274383	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936															Payment verified	Rating is 4.9 out of 5.	$7K+	Canada	5 to 10
1 hour ago	HubSpot Administrator	https://www.upwork.com/jobs/HubSpot-Administrator_~021889536940560685270/?referrer_url_path=find_work_home	Job feedback HubSpot Administrator	Save job HubSpot Administrator	Hourly: $10-$20	Intermediate	Est. Time:	30+ hrs/week	"We are a consultancy specializing in optimizing revenue operations (RevOps) for Tech, Real Estate and Hospitality companies. We help businesses scale efficiently by implementing robust RevOps strategies, streamlining processes, and ensuring seamless CRM integration—especially with HubSpot.

As we expand, we’re looking for a HubSpot Administrator to join our team and support our clients with their HubSpot needs. If you’re passionate about HubSpot, RevOps, and helping businesses maximize their tech stack, we’d love to hear from you.

Role Overview

As a HubSpot Administrator, you will be responsible for managing, optimizing, and maintaining HubSpot CRM systems for our clients. You will ensure that HubSpot is effectively configured to support sales, marketing, and customer success teams while driving automation, data integrity, and system improvements.

Key Responsibilities

HubSpot Administration & Optimization
	•	Configure, customize, and optimize HubSpot CRM, Marketing Hub, Sales Hub, and Service Hub based on client needs.
	•	Manage data hygiene, de-duplication, and enrichment to ensure clean and accurate records.
	•	Oversee user roles, permissions, workflows, and integrations with other tools.

Process Automation & Efficiency
	•	Build and optimize workflows, sequences, and automation to improve operational efficiency.
	•	Set up lead scoring, lifecycle stages, and deal pipelines for better sales and marketing alignment.
	•	Troubleshoot and resolve issues related to automation, reporting, and integrations.

Reporting & Analytics
	•	Create custom dashboards and reports to track KPIs and performance across sales, marketing, and customer success.
	•	Provide insights and recommendations for process improvements based on data analysis.

Training & Support
	•	Train internal and client teams on best practices for HubSpot usage.
	•	Act as a HubSpot subject matter expert, advising on strategy, best practices, and new features.

Integrations & Tech Stack Management
	•	Connect HubSpot with third-party applications such as Salesforce, Slack, Zapier, and other RevOps tools.
	•	Evaluate new HubSpot features and integrations to enhance client workflows.

Who You Are
	•	HubSpot Expert – You have deep experience working with HubSpot (certifications preferred).
	•	Tech-Savvy & Detail-Oriented – You enjoy solving problems and optimizing processes using automation and integrations.
	•	Analytical Thinker – You know how to turn data into actionable insights.
	•	Proactive & Collaborative – You can work independently but thrive in a team environment.
	•	Client-Focused – You enjoy working with businesses to help them achieve success with HubSpot.

Required Skills & Experience
	•	2+ years of hands-on experience with HubSpot CRM (Marketing, Sales, and Service Hub).
	•	Experience with workflow automation, custom reporting, and data management in HubSpot.
	•	Strong understanding of RevOps principles, sales/marketing automation, and CRM best practices.
	•	Familiarity with integrations (e.g., Zapier, Salesforce, Jira,  Aircall, Intercom, etc.).
	•	HubSpot certifications (HubSpot Administrator, Sales Software, or Marketing Software) are a plus.
	•	Strong communication skills for training and supporting clients.

What We Offer
	•	The opportunity to work with fast-growing companies and impact their RevOps success.
	•	Remote and flexible work environment.
	•	Professional development and HubSpot certification support.
	•	A collaborative team that values innovation and efficiency.

We look forward to hearing from you."	more	"about ""HubSpot Administrator"""	HubSpot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626745198395392	Customer Relationship Management	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626728555397120	Administrative Support	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626709379039232	Data Entry	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626730136649728											Payment verified	Rating is 5.0 out of 5.	$6K+	United Kingdom	5 to 10
1 hour ago	AI Chatbot Enhancement and refine chatbot responses	https://www.upwork.com/jobs/Chatbot-Enhancement-and-refine-chatbot-responses_~021889535062735025466/?referrer_url_path=find_work_home	Job feedback AI Chatbot Enhancement and refine chatbot responses	Save job AI Chatbot Enhancement and refine chatbot responses	Hourly: $10-$30	Expert	Est. Time:	Less than 30 hrs/week	"I am looking for a Generative AI developer with expertise in AI chatbots, NLP and LLMs for a quick task. You have to refine an existing chatbot and its responses, optimize an NLP model. The job involves improving conversational accuracy, handling edge cases, and ensuring smooth functionality.
If you're available and confident in delivering results, Let’s connect."			AI Development	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099314254262272	Chatbot	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1253342869935763456	GPT API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1691099315231535104	Natural Language Processing	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626761858170880											Payment verified	Rating is 5.0 out of 5.	$3K+	United States	10 to 15
1 hour ago	AI Agent and Automation Developer Needed	https://www.upwork.com/jobs/Agent-and-Automation-Developer-Needed_~021889525068601980218/?referrer_url_path=find_work_home	Job feedback AI Agent and Automation Developer Needed	Save job AI Agent and Automation Developer Needed	Hourly: $5-$15	Intermediate	Est. Time:	30+ hrs/week	"We are currently seeking a highly skilled developer to design and implement AI agents and automation systems utilizing n8n, large language models (LLMs), Python, and APIs. The ideal candidate will have a good understanding of the latest trends in the AI space and the ability to replicate them. 
If you are passionate about automation and artificial intelligence, and possess the requisite technical expertise, we invite you to submit your application."	more	"about ""AI Agent and Automation Developer Needed"""	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	Artificial Intelligence	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626716094119936	API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1110580482322976768	Java	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274382	Machine Learning	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1031626755474440192									Payment verified	Rating is 0 out of 5.	$100+	Canada	5 to 10
1 hour ago	Transaction Categorization Tool Development	https://www.upwork.com/jobs/Transaction-Categorization-Tool-Development_~021889523273146266938/?referrer_url_path=find_work_home	Job feedback Transaction Categorization Tool Development	Save job Transaction Categorization Tool Development	Hourly: $20	Intermediate	Est. Time:	Less than 30 hrs/week	We are seeking an experienced developer to create a tool specifically designed for transaction categorization. The ideal candidate should have a strong understanding of machine learning and natural language processing. The project involves training the model to accurately categorize various types of financial transactions based on historical data. If you have a passion for AI and experience in building robust classification systems, we want to hear from you!	more	"about ""Transaction Categorization Tool Development"""	Python	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=996364628025274386	ChatGPT	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1623716864178130944	ChatGPT API	https://www.upwork.com/nx/search/jobs/?ontology_skill_uid=1733104400576430081													Payment verified	Rating is 4.9 out of 5.	$4K+	Australia	10 to 15
